gene,mode_22,mode_23,mode_24,mode_25,mode_26,mode_27,mode_28,mode_29,mode_30,mode_31,mode_32,mode_33,mode_34,mode_35,mode_36,mode_37,mode_38,mode_39,mode_40,mode_41,mode_42,mode_43,mode_44,mode_45,mode_46,mode_47,mode_48,mode_49,mode_50,mode_51,mode_52,mode_53,mode_54,mode_55,mode_56,mode_57,mode_58,mode_59,mode_60,mode_61,mode_62
IDH1,0.1497746693242866,-0.1519857588976136,0.11613929411097115,0.0660681630104536,-0.20620361288140404,0.2996650286243727,-0.20629456360077186,0.00975809704113779,-0.04051413950841225,0.006208274181793594,-0.029805221212647084,-0.02585260684095646,0.0272144544049936,0.07361525997323275,-0.0631497234971783,-0.12925078057334405,0.03083726940902528,0.02827536990166952,0.1777654601889949,-0.011193464139842702,-0.11104712852722336,-0.037679948168771335,-0.022158193906838722,-0.03440230721312285,0.07796550313030119,0.04411655756049609,0.07464432776252183,0.11878082333657931,0.042646439428747754,-0.09805701513160044,-0.01177875232179071,-0.04257187074726624,-0.14722075647701194,0.17675832611949635,-0.07618271356557973,-0.07032036259195298,0.04475393004226548,-0.05929027007540181,0.043754771066865816,0.02303057810796966,0.018378165941970556
SF3B1,-0.0237651724733772,-0.00660993424719802,-0.05039681038642112,-0.007154795942663298,0.018110922146075466,-0.020427011794394705,-0.031404257371881926,-0.0008829568473278865,-0.0075565296076812675,0.022777079128265685,-0.050960429505606204,0.028118527787236485,-0.021635339001295675,-0.039161989109997006,0.02364287227547975,0.03130011731266263,0.041296837591524665,0.021227605159910484,-0.02892623426641424,0.002375303090926311,0.03356334537926409,-0.014212956114152957,0.03521830248209886,0.0058810046165814825,0.013138429926378982,-0.022680361606765006,-0.026805669312864856,0.018637476241262878,0.002614020863962084,-0.019779203707708616,-0.07796003742432275,0.013155928655480513,-0.01542540451905509,-0.029071038828855516,0.007222181559197489,-0.0307556511208514,-0.02785386368537867,0.008510982181256769,-0.005658362228161782,0.0522721230983176,-0.019675089746555335
WT1,-0.13276859558064702,0.057463391809187,-0.011351561328100092,0.11626552633256822,-0.15036462312126156,-0.02663546048049517,0.3392201022492364,0.009523765176873667,0.017076443177766465,0.166863942130213,0.025998500057584178,0.1272362235400671,0.4066262761509207,-0.3481681679929056,0.1314852835029492,-0.4114890387851431,0.2246352712501935,0.1733655913508105,0.01865485529161727,0.12946179876808153,0.0751522455835996,0.08138623270510004,-0.08404314595380824,-0.02273023087000466,-0.07649216906363761,-0.060435669528258164,0.028785765600166168,-0.05266802987803954,-0.11959569732474339,-0.10746161975575161,0.10772269916894225,-0.055172905736252276,-0.02670167735561257,-0.048009178191411296,-0.004845559994039243,0.034993112558710036,0.019790959877396857,-0.03568354577744262,-0.016338110669738535,-0.0106287280702138,0.00966233537164542
NRAS,0.04369752426010847,0.05178047651612169,-0.06061137976611485,0.03378341105545266,0.01667985769596754,-0.00939017137384029,-0.03077447233876649,-0.02064189571827352,0.03415940123241295,0.004442586730334825,0.01014391367850336,0.013661061745254353,0.05682395712178582,0.06730209447896701,-0.0019265137133490811,0.04178765758046035,0.025365013955789006,-0.07802104520566347,0.03001381602566509,0.06273157117443236,-0.02788961520039812,0.004794179250970019,0.010565504404803635,0.03796023471171275,-0.07957078612243369,0.0061263949398434395,0.013779527372590888,0.05532680461013707,0.03638995906013502,0.02952844035602735,0.03766335398757894,0.007387595339752014,-0.018555204491060382,0.044763414700225726,-0.03640620867786368,0.05480128781175502,0.004935452157088383,0.02117968910797537,-0.04722188820691307,0.004051992821391804,0.0353318535589955
KMT2A,0.05769136202477987,-0.011849168538455634,-0.13358316556726507,-0.03008714144233422,0.021016294265659447,0.06561680909556947,-0.02127759895452403,-0.024285612700093502,-0.006286771589968726,-0.10851973841444856,0.0072779117227441525,0.10478370122321978,-0.02339191586997241,-0.05961080950676652,-0.10923655846720867,-0.042784556181699254,0.051276734723387195,-0.04098145418194561,-0.02192718549282837,-0.021796534339372984,-0.024134942523503188,-0.057627313920427616,0.024445163886182085,0.03013207206640894,-0.031798039659222024,0.024462893521472556,0.026464964651415627,-0.012281682676450863,0.05807528013725111,-0.028660862266873772,0.08756665129227392,-0.057173329013675674,-0.005046364603764037,-0.0720386637957602,-0.0835789374245793,0.04005954783407545,-0.005169119534133508,-0.11321309268429675,0.0061428155492287435,-0.002210189238600506,-0.01456057151407428
BCL2,0.09139264141584938,0.018275071212416834,0.010312130227151117,-0.06970093655394641,0.01580078399462544,-0.02031830705266861,-0.04262305821774945,-0.08200404192990828,-0.022643821245410818,0.004545927044612014,0.08131436333969931,0.04241025350884983,-0.03746420326053069,-0.1395835585757192,0.09169399788182496,-0.01580300683540047,-0.01617600500240726,0.037106367696636486,-0.0433860713031951,0.0011455778227492548,-0.007736246246427162,0.07950233230675312,-0.017847570344718275,0.0423075592708759,0.019038435524077472,0.06936513461660097,-0.006592705883407926,0.012398465036938523,0.09863011252890559,-0.04574557686916448,0.0003306034872580183,-0.0753310571742033,-0.05552012220083819,-0.06093117555198557,-0.03203445772083689,-0.020156231757023236,-0.061805126405812524,0.009058199394556425,-0.020751768770907977,-0.015644367076652708,0.08107757088988254
IDH2,-0.1354482974837013,0.11226459164894759,0.24326128308090914,-0.2777719074857755,-0.03773505478506042,-0.09305037883028693,-0.27241114622337503,-0.15250210470250777,-0.18704541684231357,-0.08231377859028245,-0.13574356730210438,0.018795631314355438,0.22629354920247446,-0.061016949652873124,-0.0008990817468996848,0.035117809988830344,-0.10823125338924981,-0.2609229017870492,0.13794109205957247,-0.11126601768037729,0.24963951092714234,0.15849472862761957,-0.16685727181092377,-0.1825195741522971,-0.08977370252916031,0.01734199090931987,-0.03821847786167482,-0.0136191205279459,-0.013239143355836059,-0.010426714518858501,0.028806743379336894,0.06143494370072599,-0.04174030729986837,-0.11772269091838272,-0.07771959539134898,-0.003492834951875408,0.006043633407653916,0.05572867635006674,0.07212161553927458,0.0022965888270727514,0.014982002017159494
EZH2,-0.05499332216707181,-0.17108652852537884,0.06852415096330776,0.04498708177058869,-0.09451158541657805,-0.05976220367265414,0.022060540473214166,0.05952948683610119,0.03253886765279639,-0.018018202107022038,-0.1021106391378506,0.04804564074437707,0.073344705179183,0.024288206711798634,-0.017253465020470968,0.06665499550490545,-0.07878229765190153,0.025839049580143356,0.016188635536483656,-0.040469185952050735,-0.06501186904865917,0.09318558328133617,0.09850003124308743,0.0751634134547742,0.013288144627977833,0.03966121855135617,-0.05949536383215534,-0.15855777009239916,-0.019988545432829467,-0.05416355325406474,0.02008773316481423,-0.0693999504967429,0.090497282641005,0.020313384388861048,-0.08171702647159906,-0.08681981584970899,-0.11735361094684753,0.052858712147526854,-0.014937100226224876,-0.1091001708627426,0.013222404866572446
ZRSR2,0.20000137953974606,0.03885984051476333,0.1666966236618747,-0.013687820847918836,-0.018454145134628487,-0.08573274498018658,0.07732737091731992,0.03291424563348478,0.06671343052677822,0.04834587600318119,0.017441652320670055,-0.02809730846250468,0.10208144032549468,-0.008958012103257054,0.01718374645992177,0.09914193237363797,-0.002588572932354829,-0.07486187039654979,0.006653657442582807,-0.0044542605399841145,-0.08288166874649738,0.06879222175562469,0.09687059837215466,-0.08379686934978907,0.005087668589182526,-0.006511776542632599,0.03895272026815657,0.055336424103701556,-0.03878573279024011,0.059555459071447506,0.027398889725454727,0.009092841539816304,-0.013024862133245906,-0.013472938584976812,-0.034683790179158826,0.049755589030016305,0.033983774567359855,-0.05864464183957229,-0.0030787259777372354,0.02117857653430114,0.011174177780946381
RAD21,-0.018446642773402563,-0.011620611727929489,-0.020275552553368596,0.01397085019427777,0.003706872910169658,-0.04319997973885949,0.04363026164039157,-0.022314504580117366,-0.03661235532660852,-0.012167483265183228,0.03463265602337681,-0.043512688913186826,-0.020490012252076972,0.03324967747061195,-0.06271669302781786,0.04011452024536384,0.026375800329385433,-0.022659254094483997,-0.01108467020276805,0.13617227847369856,0.04716575053414601,0.07748016775641572,-0.008042524836260157,0.02016930304158361,-0.042118920574650665,0.05440000886387068,0.037532624901462926,-0.03311428623154769,-0.02106110920461023,0.042312927627711105,-0.0003065641084168537,0.0122492283372998,0.005444917651216558,-0.0211069546393496,-0.008569843404743363,0.04488313738549366,-0.008851041610720688,0.024046776177451015,-0.028666226644450513,0.0007092661988264295,-0.0013518479248341624
