axis,axis_name,selection,go_term,go_id,column,support,prevalence,entropy_bits,loading,abs_loading,loading_sign,abs_rank
8,mode_08,top_positive,TRAF6 Mediated Induction of NFkB and MAP Kinases Upon TLR7 8 or 9 Activation,,TRAF6 Mediated Induction of NFkB and MAP Kinases Upon TLR7 8 or 9 Activation,23,0.15333333333333332,0.6181194891000384,0.055965105316794835,0.055965105316794835,positive,43
8,mode_08,top_positive,Toll Like Receptor TLR1 TLR2 Cascade,,Toll Like Receptor TLR1 TLR2 Cascade,24,0.16,0.6343095546405662,0.055035412027309584,0.055035412027309584,positive,48
8,mode_08,top_positive,MyD88 MAL(TIRAP) Cascade Initiated on Plasma Membrane,,MyD88 MAL(TIRAP) Cascade Initiated on Plasma Membrane,24,0.16,0.6343095546405662,0.055035412027309584,0.055035412027309584,positive,50
8,mode_08,top_positive,Toll Like Receptor 2 (TLR2) Cascade,,Toll Like Receptor 2 (TLR2) Cascade,24,0.16,0.6343095546405662,0.055035412027309584,0.055035412027309584,positive,49
8,mode_08,top_positive,Toll Like Receptor TLR6 TLR2 Cascade,,Toll Like Receptor TLR6 TLR2 Cascade,24,0.16,0.6343095546405662,0.055035412027309584,0.055035412027309584,positive,51
8,mode_08,top_positive,Antiviral Mechanism by IFN-stimulated Genes,,Antiviral Mechanism by IFN-stimulated Genes,36,0.24,0.7950402793845223,0.05493941407575984,0.05493941407575984,positive,52
8,mode_08,top_negative,Cilium Assembly,,Cilium Assembly,13,0.08666666666666667,0.42524461248637185,-0.20665601855840515,0.20665601855840515,negative,1
8,mode_08,top_negative,Recruitment of Mitotic Centrosome Proteins and Complexes,,Recruitment of Mitotic Centrosome Proteins and Complexes,13,0.08666666666666667,0.42524461248637185,-0.2000073653022457,0.2000073653022457,negative,2
8,mode_08,top_negative,Centrosome Maturation,,Centrosome Maturation,13,0.08666666666666667,0.42524461248637185,-0.2000073653022457,0.2000073653022457,negative,3
8,mode_08,top_negative,Anchoring of the Basal Body to the Plasma Membrane,,Anchoring of the Basal Body to the Plasma Membrane,13,0.08666666666666667,0.42524461248637185,-0.19733816523908074,0.19733816523908074,negative,4
8,mode_08,top_negative,Recruitment of NuMA to Mitotic Centrosomes,,Recruitment of NuMA to Mitotic Centrosomes,15,0.1,0.4689955935892812,-0.19610404734458262,0.19610404734458262,negative,5
8,mode_08,top_negative,Organelle Biogenesis and Maintenance,,Organelle Biogenesis and Maintenance,25,0.16666666666666666,0.6500224216483541,-0.19417805131741434,0.19417805131741434,negative,6
8,mode_08,top_negative,Loss of Nlp From Mitotic Centrosomes,,Loss of Nlp From Mitotic Centrosomes,16,0.10666666666666667,0.48977901368693755,-0.1811225947594664,0.1811225947594664,negative,8
8,mode_08,top_negative,Loss of Proteins Required for Interphase Microtubule Organization From the Centrosome,,Loss of Proteins Required for Interphase Microtubule Organization From the Centrosome,16,0.10666666666666667,0.48977901368693755,-0.1811225947594664,0.1811225947594664,negative,7
8,mode_08,top_negative,AURKA Activation by TPX2,,AURKA Activation by TPX2,19,0.12666666666666668,0.5482251174503202,-0.17052768630556436,0.17052768630556436,negative,9
8,mode_08,top_negative,Regulation of PLK1 Activity at G2 M Transition,,Regulation of PLK1 Activity at G2 M Transition,22,0.14666666666666667,0.6014353864290773,-0.1660011740484972,0.1660011740484972,negative,10
8,mode_08,top_negative,Formation of the Cornified Envelope,,Formation of the Cornified Envelope,4,0.02666666666666667,0.17738945318599736,-0.10030169973248716,0.10030169973248716,negative,11
8,mode_08,top_negative,G2 M Transition,,G2 M Transition,31,0.20666666666666667,0.7350626941249581,-0.09038860563037271,0.09038860563037271,negative,12
8,mode_08,top_negative,Mitotic G2-G2 M Phases,,Mitotic G2-G2 M Phases,32,0.21333333333333335,0.7478061583312325,-0.08789081293362704,0.08789081293362704,negative,13
8,mode_08,top_negative,Hedgehog 'Off' State,,Hedgehog 'Off' State,11,0.07333333333333333,0.37824164440536223,-0.08788936016750636,0.08788936016750636,negative,14
8,mode_08,top_negative,Mitotic Prometaphase,,Mitotic Prometaphase,50,0.3333333333333333,0.9182958340544896,-0.08458518164162357,0.08458518164162357,negative,15
8,mode_08,top_negative,Golgi-to-ER Retrograde Transport,,Golgi-to-ER Retrograde Transport,8,0.05333333333333334,0.30039141736478187,-0.08098937248396457,0.08098937248396457,negative,16
8,mode_08,top_negative,COPI-dependent Golgi-to-ER Retrograde Traffic,,COPI-dependent Golgi-to-ER Retrograde Traffic,8,0.05333333333333334,0.30039141736478187,-0.07846097919067964,0.07846097919067964,negative,17
8,mode_08,top_negative,RNA Polymerase III Transcription,,RNA Polymerase III Transcription,19,0.12666666666666668,0.5482251174503202,-0.0731584057944772,0.0731584057944772,negative,18
8,mode_08,top_negative,RNA Polymerase III Abortive And Retractive Initiation,,RNA Polymerase III Abortive And Retractive Initiation,19,0.12666666666666668,0.5482251174503202,-0.0731584057944772,0.0731584057944772,negative,19
8,mode_08,top_negative,SARS-CoV-2 Modulates Host Translation Machinery,,SARS-CoV-2 Modulates Host Translation Machinery,10,0.06666666666666667,0.35335933502142136,-0.07024968319478897,0.07024968319478897,negative,20
8,mode_08,top_absolute,Cilium Assembly,,Cilium Assembly,13,0.08666666666666667,0.42524461248637185,-0.20665601855840515,0.20665601855840515,negative,1
8,mode_08,top_absolute,Recruitment of Mitotic Centrosome Proteins and Complexes,,Recruitment of Mitotic Centrosome Proteins and Complexes,13,0.08666666666666667,0.42524461248637185,-0.2000073653022457,0.2000073653022457,negative,2
8,mode_08,top_absolute,Centrosome Maturation,,Centrosome Maturation,13,0.08666666666666667,0.42524461248637185,-0.2000073653022457,0.2000073653022457,negative,3
8,mode_08,top_absolute,Anchoring of the Basal Body to the Plasma Membrane,,Anchoring of the Basal Body to the Plasma Membrane,13,0.08666666666666667,0.42524461248637185,-0.19733816523908074,0.19733816523908074,negative,4
8,mode_08,top_absolute,Recruitment of NuMA to Mitotic Centrosomes,,Recruitment of NuMA to Mitotic Centrosomes,15,0.1,0.4689955935892812,-0.19610404734458262,0.19610404734458262,negative,5
8,mode_08,top_absolute,Organelle Biogenesis and Maintenance,,Organelle Biogenesis and Maintenance,25,0.16666666666666666,0.6500224216483541,-0.19417805131741434,0.19417805131741434,negative,6
8,mode_08,top_absolute,Loss of Proteins Required for Interphase Microtubule Organization From the Centrosome,,Loss of Proteins Required for Interphase Microtubule Organization From the Centrosome,16,0.10666666666666667,0.48977901368693755,-0.1811225947594664,0.1811225947594664,negative,7
8,mode_08,top_absolute,Loss of Nlp From Mitotic Centrosomes,,Loss of Nlp From Mitotic Centrosomes,16,0.10666666666666667,0.48977901368693755,-0.1811225947594664,0.1811225947594664,negative,8
8,mode_08,top_absolute,AURKA Activation by TPX2,,AURKA Activation by TPX2,19,0.12666666666666668,0.5482251174503202,-0.17052768630556436,0.17052768630556436,negative,9
