gene,mode_06,mode_07,mode_08,mode_09,mode_10
HSPA12A,-0.0061367407131278275,0.023887583438897603,-0.08234067444131385,-0.06978343631863139,0.06742631158606904
MLLT1,0.04177271381098682,0.2556905404121354,-0.06332242147288127,-0.2703830322933685,-0.3125184799059608
ERP44,-0.013313490300906136,0.000872660974826921,0.03922321981943761,-0.12721007745465074,0.10395968229952508
NFIC,-0.10090093070680647,-0.19016083027468356,-0.04308560091015129,0.0252735269171108,0.13527199202814436
SNAPC4,-0.0631889748712517,-0.015632352618105937,-0.24396955925509908,-0.04452157551445069,-0.06717458835527519
MLLT3,0.12246559006532286,0.15907906727841176,-0.10793591295018043,-0.19042307061647057,-0.26054954256322915
QPRT,-0.14106917715361872,-0.16477820083912378,-0.018289554596606042,0.01677519047312456,0.015020394158486753
KPNA4,-0.336568790781752,0.13740275536865085,0.17928225234063982,0.033277457509861955,-0.0407364931095477
NFIA,-0.11919123492306091,-0.2416526992608166,-0.0004280501110067856,0.04025925237731628,0.19485757232231685
CBX4,-0.019568045020166562,0.17941497657392888,-0.05933697782574367,-0.15604316627703493,0.0976192498240616
NFIX,-0.12367341554458751,-0.28610813653245876,-0.03397375067370308,0.0739576914222069,0.11625147892585252
SHARPIN,0.11145503311156342,-0.06422486667984309,0.14791690913558575,0.0424618767231311,-0.08147913888366574
RING1,0.16068565965122442,0.26990415585329003,-0.01906206217071035,0.0591387314722897,0.15306374853174462
C6ORF141,-0.216430481517074,-0.10652779369296525,-0.6097262993274916,-0.10068408681275823,-0.11388534400896283
YAF2,0.19745270574348933,0.26119081894428603,0.046637474776498426,0.28891565323675855,-0.006824091260323903
PPP4R1L,-0.18653134587388734,-0.24895687888182583,-0.34511178793171915,-0.05621447365045624,-0.013593292960737175
RNF2,0.1641042332233362,0.18189813313560022,-0.0054939533095581545,0.2884691809066964,-0.011558618719722275
BCL6,0.012439042850227552,-0.27014637956515275,0.11646507026919697,-0.07859040271121966,-0.07494086644309979
NAA10,-0.05213212734422149,-0.024838043218173265,-0.05369632329998205,-0.029576789297330153,-0.011354756685462528
DCAF7,-0.065664019816042,0.1601508894095796,-0.33304559023618663,-0.20987134885276862,0.11536471402022389
RYBP,0.15790045844979464,0.1790673250210055,0.02656553908318265,0.3045990916273454,-0.005269801640861977
CBX8,0.16931154239934634,0.4705426472033646,-0.14496025722556646,-0.0540654536600801,0.10693130534486567
PIP,0.0471945608323185,-0.07721032094276799,0.08413734674271839,-0.12654595775856917,-0.1073746177102784
NCAPH2,-0.21517638363731512,-0.07242355004512753,-0.5170636527163995,-0.11561825187190357,-0.1435821926245017
B4GALT2,-0.20809212109566708,-0.07283273178706008,-0.37396233785064903,-0.05174887088997027,0.030406157492627404
SP1,-0.027985679370286107,-0.2724040735197034,0.13829691330817745,0.1235204517653262,0.02287467852784735
CTBP1,-0.07512845241035682,-0.20162615303045464,0.045087618211678344,0.013659875897822905,0.06600579557006114
CDC16,-0.1508958606079847,-0.0011849925304667948,-0.41787029420589633,0.2520233875383822,-0.09049435932219616
CBX3,-0.026962560713996584,0.08284984183669272,-0.003580915429442661,-0.05560744447494656,-0.10339213983716034
BRAF,0.06300472342964294,-0.012666527374146256,0.025007475928102943,-0.11422767970284177,0.18579291597947264
CCDC96,-0.320366490605842,-0.045905271190249654,-0.5336382473112364,-0.10665656313412325,-0.06183669825368539
CBX6,0.10637152328417605,0.22333852969019435,-0.03359746679182602,-0.1653590799520952,0.11670982398671632
SKP1,0.13567703003815865,0.009811466779892263,-0.004177185276292984,0.3924915531576672,-0.01871869286836315
S100P,-0.2911202620661961,-0.024975792692648293,-0.48820768475100895,-0.13109854891476758,-0.09201253950576346
USP7,0.1328710211294488,0.2644117265361279,0.024152444573941546,-0.12015471157364979,-0.05691005370837125
