axis,axis_name,selection,go_term,go_id,column,support,prevalence,entropy_bits,loading,abs_loading,loading_sign,abs_rank
8,mode_08,top_negative,Recruitment of Mitotic Centrosome Proteins and Complexes,,Recruitment of Mitotic Centrosome Proteins and Complexes,13,0.08666666666666667,0.42524461248637185,-0.15150304095664235,0.15150304095664235,negative,5
8,mode_08,top_negative,Anchoring of the Basal Body to the Plasma Membrane,,Anchoring of the Basal Body to the Plasma Membrane,13,0.08666666666666667,0.42524461248637185,-0.14891079912392183,0.14891079912392183,negative,7
8,mode_08,top_negative,AURKA Activation by TPX2,,AURKA Activation by TPX2,19,0.12666666666666668,0.5482251174503202,-0.14790793885478848,0.14790793885478848,negative,8
8,mode_08,top_negative,Loss of Proteins Required for Interphase Microtubule Organization From the Centrosome,,Loss of Proteins Required for Interphase Microtubule Organization From the Centrosome,16,0.10666666666666667,0.48977901368693755,-0.14730210454807993,0.14730210454807993,negative,9
8,mode_08,top_negative,Loss of Nlp From Mitotic Centrosomes,,Loss of Nlp From Mitotic Centrosomes,16,0.10666666666666667,0.48977901368693755,-0.14730210454807993,0.14730210454807993,negative,10
8,mode_08,top_negative,RNA Polymerase II Transcription,,RNA Polymerase II Transcription,85,0.5666666666666667,0.9871377743721863,-0.1371731580971527,0.1371731580971527,negative,11
8,mode_08,top_negative,mRNA Splicing - Major Pathway,,mRNA Splicing - Major Pathway,30,0.2,0.7219280948873623,-0.11921167423149477,0.11921167423149477,negative,13
8,mode_08,top_negative,mRNA Splicing,,mRNA Splicing,30,0.2,0.7219280948873623,-0.11921167423149477,0.11921167423149477,negative,12
8,mode_08,top_negative,G2 M Transition,,G2 M Transition,31,0.20666666666666667,0.7350626941249581,-0.10628282202465333,0.10628282202465333,negative,16
8,mode_08,top_negative,Mitotic G2-G2 M Phases,,Mitotic G2-G2 M Phases,32,0.21333333333333335,0.7478061583312325,-0.10529537529639015,0.10529537529639015,negative,17
