case_id,case_category,source_family,feature_representation,samples,features,true_clusters,old_found_clusters,new_found_clusters,metric,old_value,new_value,delta,direction,metric_orientation
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,singleton_fraction,0.0,0.0,0.0,tie,lower_better
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,median_cluster_size,10.0,10.0,0.0,descriptive_delta,descriptive
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,largest_cluster_fraction,0.3333333333333333,0.3333333333333333,0.0,descriptive_delta,descriptive
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,effective_cluster_count,2.9999999999999996,2.9999999999999996,0.0,descriptive_delta,descriptive
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,cluster_size_entropy,1.0986122886681096,1.0986122886681096,0.0,descriptive_delta,descriptive
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,cluster_size_gini,0.0,0.0,0.0,tie,lower_better
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,noise_label_fraction,0.0,0.0,0.0,tie,lower_better
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,silhouette_score,0.4614158736924423,0.4614158736924423,0.0,tie,higher_better
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,davies_bouldin_index,0.9184521942793156,0.9184521942793156,0.0,tie,lower_better
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,calinski_harabasz_index,26.050781249999996,26.050781249999996,0.0,tie,higher_better
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,cluster_count_abs_error,0.0,0.0,0.0,tie,lower_better
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,over_split,0.0,0.0,0.0,tie,lower_better
gauss_clear_small,improved_gaussian,gaussian_blobs,median_binary,30,20,3,3,3,under_split,0.0,0.0,0.0,tie,lower_better
