gene,mode_10,mode_11,mode_12,mode_13,mode_14,mode_15,mode_16,mode_17,mode_18,mode_19,mode_20,mode_21
RGPD2,0.05712464848058218,-0.060055125198431404,-0.0680424149581902,0.017667055199724186,-0.12265530200156881,0.05996816715713492,0.08257349910922072,0.09334724242059075,-0.02529622045226263,0.09016615986071039,-0.09855576442275472,-0.02333251055409989
WAPAL,-0.013689602040725913,-0.029110606331893028,0.04268391525149261,-0.052225436703645454,0.023360312649758474,-0.006005743690139541,0.026378094453548172,0.00986419313644233,0.02793154242750845,0.010802656089239897,-0.06895862644584631,0.03312548612235225
KAT6A,0.005843594125230028,-0.0566467581162327,0.025610410135400934,-0.04996460517564881,0.09473689005851935,0.16598314502919645,-0.044623441103505884,0.07690673961091071,-0.014780399603030788,0.0339833331044278,0.07320281243630677,0.007967301362809886
HLF,-0.05578359084986716,-0.20094186322248117,-0.15950269499330708,-0.0759218672478088,0.2786792209467112,0.16056624644619866,-0.026217083092761065,0.11873507740486682,-0.19234930627937022,0.19329908199057838,-0.07261211568748195,-0.2134127339679039
HRK,-0.1709471784463821,-0.0010795910838542692,0.15492021521749272,-0.01309870460452879,0.01947519206967494,0.023937413436160255,0.05089460578529023,0.11839243019795165,0.16274266346037666,0.06943267714461357,0.1421844439899538,-0.0028942809741731713
BNIPL,-0.12604195092061304,0.027222965613685216,0.11914548230552985,0.027891693253415475,0.09505942299411461,-0.008432259090461743,0.07809123232669539,0.18614637041982873,0.08372586638810342,0.002308203381583751,0.10457372816006358,-0.039839798906468486
GRB10,0.018518323473582423,-0.02506259035501132,-0.06661394247379378,-0.04172032093678517,0.031234832772627927,-0.0406269727515655,0.01703809518942911,0.07941826352908073,-0.07428225622326917,0.08386881485086577,0.0015849622964540923,-0.01723629904245792
MED1,0.0034739882915943363,0.01829632736266992,-0.04150435473046856,-0.030611548707564704,0.165299972453395,0.2814568564186751,0.20719201202731793,0.008935852979229218,0.023945671942081102,-0.11317626431453319,0.04009384782336006,-0.03865779234979512
NUP93,0.019743949306448686,-0.03550021355309937,-0.038662891067576276,0.0228655775089955,-0.030440786348009386,-0.0023044942923218944,0.04424805562733619,-0.010486815825660781,0.0314290729043471,0.011827795767361187,0.024720831462814265,-0.011510826037718035
PDS5B,-0.24227561587310384,0.024768740083743118,0.07784712738875867,0.02285377265192458,0.15670943411643115,-0.06905978172044168,-0.13035867894692985,-0.021355582886415515,-0.16437686250306738,-0.16863100801338726,-0.0794298898866845,0.09974512182783363
CBL,0.030518399843508244,0.08660693371232546,-0.06845260736993729,-0.09093761926117803,-0.02995096551024115,-0.05179668267499121,0.04377094924334898,0.04505361003984051,-0.10562592294256128,0.016919821963218125,-0.06471067356848782,0.06297414723441308
OVCA2,0.004612231157213734,0.13424849868004177,-0.06593415099878415,-0.08169161912266315,0.039783019944422994,0.002142752182533905,0.03394622418680971,0.08098439743061145,-0.021262663341664996,0.03865722185704466,0.038969429336592074,-0.0017179535922676316
PDS5A,-0.0805581649392397,-0.059806715769221835,0.03106626458609613,-0.08013741694297803,0.03959033001774798,-0.02784421424667207,-0.013348338946825637,0.025264237062483805,-0.03704401040484923,-0.05160444035175382,-0.06710231546296642,0.03797471185316339
RBM15,-0.10756808658253224,-0.10862542977881044,0.011510775529771096,-0.10496210694261701,-0.08240872054085623,-0.025666746798839256,0.10385882248192463,0.04947601673573739,-0.08894897089055111,0.03597730930329231,0.10444652533768162,-0.07479428271263897
TFEC,-0.05450829884034649,-0.36028449932111234,-0.20966236236405972,0.018396741850649708,0.00506720149461972,-0.07778991260633537,0.007466840271181463,0.22154265644557133,-0.4651093353949952,-0.04137937100650173,-0.12987981854385452,0.08042214804403268
C19ORF43,-0.09336799388500369,0.03607204230049257,-0.0584246435801543,-0.05723887504537801,0.1886877907063953,0.3643010132837604,0.10471775711227585,-0.054641401816014123,-0.10112196369495902,-0.01820493395797791,0.013041421044724374,0.1270884038146812
ZFPM1,-0.11983642273405833,-0.22938781923550197,-0.4330093983192228,-0.04089883848712258,-0.1151883856485089,-0.1655919552293459,-0.09518703903402696,0.03884063088021757,0.17249519519477713,-0.15924083662473976,0.15050076124368944,0.19966136487034233
RADIL,-0.043784298002840394,-0.13212387929915215,0.1376577721989062,0.16644361165863364,-0.042842776050089404,0.07156226623020717,-0.02499885290877963,-0.08798635277847526,0.037065623874294275,-0.055103985690058886,-0.021351431418066908,-0.010221495533899068
HIST1H3A,0.09868672096420153,0.234892238774121,-0.11254553401503213,0.15316695557832705,0.014988592981894904,0.03950042183929626,0.08075327790337414,-0.0028299516308643155,-0.02105921275047713,-0.04531101927752776,-0.01493251279781596,0.11860076986465871
ZRSR2P1,-0.10075028468821903,0.01549341040257075,0.008117630852475365,0.062242535133304244,-0.11226243488429748,0.04964693832624451,-0.005468320683975166,0.04418105866583662,-0.002707306259927873,0.06520068951128626,-0.0009761263160472258,-0.041640103083979675
PIK3CG,-0.020982923416218734,0.0017347681738725696,0.06255621682505813,0.05303351118750651,-0.022940705179465958,0.03394620997496658,-0.000255796224009497,0.004730927253719424,0.052223837681666704,-0.003262846717232507,-0.020636703102371427,0.031913599062965446
IRX4,-0.127904672224606,-0.07380275103681544,0.0957762136282163,-0.05049791762904168,0.04392462179179405,0.005730214920894515,0.2827453428674057,-0.03793558941182022,0.0102348425877469,0.10779440558080777,-0.031260748203607795,0.018392151693289584
CITED1,-0.17584599109188007,-0.16690673230163322,-0.05410083110379742,0.04387895231296077,0.2577210186475614,0.08116439510943123,-0.12293913661021823,-0.05661321087082702,0.08152526758117919,-0.026990054601752182,0.0727128840964932,-0.16125378849743635
GPATCH11,0.20896831703344382,-0.040881729187721844,0.11638831713150634,-0.04548547947160039,0.13170098796779722,-0.04861935784434098,-0.10824621377282183,0.013551810174068873,0.004590326593662758,0.012757996863692516,-0.07559854889071728,0.07074591386233836
PPP4R3A,0.19027725263915204,-0.05562008439554641,0.22562841279857512,0.056051767672719015,0.05552239753597874,-0.007407509819956073,-0.1218429276447786,-0.021037420005170296,0.09668992592799099,-0.023031471427168097,-0.15346573575282615,0.1595886058123711
SUV39H1,0.03502168853458611,0.28208396891501725,0.07053569180353451,0.32131732531192164,-0.05071984089240351,-0.2219616139617153,-0.02271505779010954,0.0016143694291353868,-0.004687116491687373,0.012665683498941272,0.07773582809494316,-0.014061947140432865
KITLG,-0.021940040028599395,0.09045668533774502,-0.03533025943045423,-0.014589824592754774,0.02449813468918925,-0.006781844581540526,-0.033612913334193716,0.06344491174058427,0.033536405627058036,0.04015085622901953,0.021690546778981728,0.0020981257935650944
PECAM1,-0.029200362488691966,0.034697359884846964,0.06203084410917148,0.04592220948539988,-0.009435643442745688,0.047082696139956234,-0.035492186805061915,-0.005065985582704192,0.11796529994599549,0.06376887116650021,0.01577540125625703,-0.007218618980749014
HIST1H4A,0.09009813231990674,0.07114053975896499,-0.20163056181624042,0.04177949550270928,-0.11203822127974092,0.17388711988012964,0.18338117249415847,0.0006964235519390263,0.03567801615140381,0.04976820638539828,0.013297263798568453,0.06077327719455846
AVEN,-0.178114995994071,1.67382119351744e-05,0.17918468386063494,-0.012707424051720036,0.07052540412819794,0.003075964982215918,0.017154733894830815,0.08090393992856035,0.19731537001389324,0.09248300572428118,0.15406428084630489,-0.0028060044612040194
MAU2,-0.1296711257024479,-0.05234311397734082,0.06002328662823578,-0.10271077528148548,0.0762444151345303,-0.05833547350634269,0.03425287378180245,0.018980012469213263,0.08074731352707631,0.012417730838626436,-0.035553354716233936,-0.0009792930767629712
PAWR,0.026444427813242143,-0.26701337525080193,0.1552281708779293,0.17216963491181042,-0.07626209338814277,0.042279685963634905,0.10251586651283347,-0.09147575420250827,0.03168295924026996,-0.21148401563287633,-0.020726711277731315,-0.05100634810591442
MATK,0.00448473444506047,0.09292416166710107,-1.2300046041248309e-05,-0.03345901515389921,-0.0015562100384567978,-0.020612968284734155,-0.008091834545046053,0.05057733262201057,0.017607267520029498,0.01919129642065958,-0.006093341191810884,-0.005897382888950714
RGL2,-0.04005551276929035,-0.1913759784689417,0.16591376388616114,0.27140208738978966,-0.1031408752982328,0.15099098076184594,0.016327746625080245,-0.16673511500833585,0.18994090315942552,-0.12108020156945948,-0.01095162177644935,0.03407998823594742
CDK1,0.09788732207061208,-0.07981849703905883,-0.08088439080170418,-0.0029820432235403314,-0.0800031410563931,0.10310224288686001,-0.04623280703391637,-0.09449144090544086,0.0509099106957957,0.07063480343584352,-0.019294898651993346,-0.08102696423782452
BCOR,-0.05485436653321096,-0.08349444780563836,0.23835328210345177,-0.2236397701622564,-0.11796623158238011,-0.026701661358953646,0.059065102879740164,0.00951452814823606,0.08073872255114382,-0.02196109824113204,-0.046482470002969276,0.02586032262859205
CELA1,-0.03325895019570393,0.017654611643345756,-0.10157430156681152,-0.09149484427129606,-0.10863120826724622,-0.15399888442160564,0.1736582706185353,-0.027278611028946465,0.06186777637877596,-0.35798108476983026,-0.2543154322602229,-0.26175012829563316
CSN1S1,-0.01007401194968781,0.0011991222589546658,-0.005081937991995028,-0.010874923855090481,-0.06898373536440373,0.011359906329194674,-0.041618574346857964,-0.007721023977904859,0.026502698045784846,-0.021118238225664873,-0.18881486782198478,0.16601493583380186
CBX7,0.021606923976928327,-0.09444436222801153,0.17494003342231898,-0.09564781942350391,-0.007853272053896123,0.06068533632986894,-0.09853808812060552,0.10189264117990492,0.060482426332597934,-0.009306054029745768,0.05543568695080283,-0.033199891236829024
ZBTB5,-0.14508159880184537,0.027850491438026904,0.17695581890522538,-0.006106532083665596,-0.0459308576617228,-0.07839217700075458,0.30895377755828907,-0.14190398149468125,0.013735378087241196,0.281478872046198,-0.06240735714309789,0.008269465295394704
PCGF5,-0.047623421581691645,-0.10839114500115549,0.06984385655794242,-0.1796490629759881,-0.06931383625762728,-0.0041858000455182185,-0.13134436988321083,0.08886723661148259,0.1011814413574918,-0.010909400924954434,0.033331040820217754,-0.008788805536603992
HAO2,0.00022612373731579268,0.010920211105463448,0.016943352797693136,0.026629102506451643,0.05015005519222908,0.04494809413672684,0.06554171770980048,0.16369667738806823,0.1842036580049605,-0.014587563762012439,-0.10350407514478324,-0.055464865494194014
KDM2B,-0.015091349987990025,-0.11979571879460016,0.01337089159912876,-0.10417595449195033,-0.07081305759598115,-0.03745704615527038,-0.057647167470004014,0.0812829718336067,0.017413725705720053,0.06658524990949359,-0.012020280690635857,0.005536446950532081
ZBTB7A,0.042698576295590936,0.1274432710203226,-0.029153011611487034,0.007878721982836363,-0.020055012042163367,-0.07025235651786244,-0.08309611723481093,-0.0040142689872382144,0.0033742243077399463,-0.12433929210981677,-0.05477543854541654,-0.029406880301461456
PCGF1,-0.015461627104812442,-0.04409063302750833,0.08115287829208236,-0.204109164888601,0.06549959688539303,0.19396397837983656,0.021585208410323565,0.06270967885678584,0.04452255873256721,-0.017978466491733295,0.04026794288982929,-0.012481234234775002
PCGF3,0.010369907428140876,-0.02031428383981219,0.20173813983917172,-0.15599715210191523,-0.07510014482153247,-0.09842349536147228,-0.09276548083006629,0.029297418984200362,0.030774717454456018,0.0221784214452006,0.007959954429057718,0.030146532578566854
L3MBTL1,0.1252897260267585,0.1358712658547168,-0.1415345998133787,0.3923615234641947,0.05378839436857578,-0.09812553510171776,0.07449864150441655,-0.09732583823139686,-0.06236714459510655,0.10911400460875242,-0.006598397470934401,0.001988077249341775
CARD8,-0.09747763255515782,-0.09715309512602384,0.08083684340560203,0.08240344408934236,0.030436471309854326,-0.004192025780667631,0.17617727829470634,0.10672027643002716,0.07442021849277414,0.14293258400089914,0.1379834524939282,0.3058841685129289
NACC1,-0.1613860104322587,0.01626457641056452,-0.1373061424162009,-0.0033010429707092674,-0.1772055082575015,-0.17837222374916362,0.12456688573279286,-0.08510498254992006,0.15462491943676263,0.10668472658095841,-0.12916197991752928,-0.11011910395640562
PCGF2,-0.05421390961708855,-0.11768516739732005,0.08628493609932486,-0.04691249765985505,-0.040880720828039036,-0.03788432166917176,-0.018153682115537927,0.02401462189777515,-0.0004326719427926354,-0.11829739644029101,-0.04277563413854229,-0.04544547627715505
