gene,mode_22,mode_23,mode_24,mode_25,mode_26,mode_27,mode_28,mode_29,mode_30,mode_31,mode_32,mode_33,mode_34,mode_35,mode_36,mode_37,mode_38,mode_39,mode_40,mode_41,mode_42,mode_43,mode_44,mode_45,mode_46,mode_47,mode_48,mode_49,mode_50,mode_51
ZRSR2,0.034731469352147694,0.06364762264032005,-0.139503247208641,0.018075259801343436,0.10689842718359563,0.09389254066378,0.07787813011317767,0.01825149496962513,0.01404342825530589,0.06534948911059087,0.027375525450098446,0.009302015181397566,0.015352509066872569,0.046993459195953886,0.11177674919955954,-0.016759995905075403,-0.0798275208925185,-0.11335897855990514,0.020043485427679714,-0.052368714778769546,0.0310830465136373,0.15616749561737814,0.005317116721472486,0.020321080983681503,0.02107410905582813,-0.0662149888638264,-0.05531288171162254,0.04533026724096863,-0.004221283816305921,-0.01308322633186647
RAD21,0.013762639874607255,4.0026985041137484e-05,0.003334033921223382,0.02145309604640315,0.011182371071364052,-0.015316915225759556,0.03685565164322274,0.05486294591944134,-0.021566030300910546,0.04597438639128425,0.04244488307282354,0.021822791672273037,0.018334085383052583,0.01850256424120031,-0.05426210296456337,0.03913991427000665,0.01341963175166144,0.05509287545791251,-0.024721836320289615,0.009067073589375405,0.08256365811524918,0.0392642851152469,-0.022641153736688013,0.008722593398062741,-0.013076270911736613,-0.055499509282940125,-0.025952628661641115,-0.038870550937604297,0.05161842210207488,0.04190213635595403
KRAS,0.037947391130627596,0.0014074241093564855,0.0875809539395561,-0.06223469508872095,-0.04151617100359319,-0.0704696687400938,-0.05890048853412364,-0.0015307724627624717,-0.0021839599972691428,-0.024757093823158247,-0.02479770381477404,-0.0462153645352988,0.02981213259771201,-0.01202913693277963,-0.0648392720830975,-0.03186013023145742,0.0015970849646891633,-0.1023929736832837,-0.06001113204190013,0.20089568463909319,-0.004169982336865498,0.024888031303947927,-0.022647769971988963,0.019835630115921533,0.11136811196777145,-0.06590998342169829,0.11207138663256765,0.10718961260365016,-0.01424257655743672,0.05039336571435303
DNMT3A,0.0058701127021228315,-0.034756471005829785,-0.02851466263875531,0.09847318777120924,0.024609519736975415,-0.022514246223025315,-0.08746828847337819,0.014110077522218233,0.04821671348669484,0.13380276704459101,-0.009217613350656389,-0.1210755311166507,-0.01832154315599487,-0.09761175945975674,0.017131054735292982,-0.019797684435790504,-0.11758144112255943,-0.01828483504361713,0.09261074809564246,0.1771945828283711,0.007763918017513002,0.018018405707795296,-0.0549405287525613,-0.040775126620911824,0.0410175310602043,0.006128662514234535,-0.013111908016115857,-0.02676054673424382,0.06658292391263614,0.05699758364981689
ASXL1,0.12688453472801622,-0.053990887454530664,0.09781746507225451,0.041516843027843434,0.03838126236805296,0.03526982715794812,0.15013924657009622,-0.14362937936391448,-0.1957887086777471,-0.1751582690746628,0.10572897282393613,0.05624532650430077,0.005141053269377087,0.02988036327582409,-0.074078229654203,0.09756294084584193,0.12783682792760584,-0.035146578869479535,0.06812997805068664,0.11556542309514574,-0.06790795881193396,-0.040286943747948896,0.05685229242495893,-0.0002503720605915042,0.05245225320265627,-0.018034688905786782,0.06482340249588366,-0.06452802383626073,-0.02228425763374986,-0.21795253270694748
U2AF1,-0.018729249651354266,-0.10872247880010674,0.0766303262551838,-0.09536919628654408,-0.0547921058837941,-0.23776884681941576,0.013405411369369792,-0.17453810545932985,0.01628574890177701,-0.07428728648973176,0.03159187170083336,0.1299945303748145,0.03730075016773903,-0.024557484257596875,-0.0025876860926058614,-0.012586459180357596,0.03576577588468973,0.04531790700542935,-0.12527125005802445,0.05494204884082303,-0.08446475948783905,-0.07946453780855481,0.11654141445672135,-0.06670796730514865,-0.02378919122925224,0.07832856645696205,-0.01416474523454943,0.0013877769199519363,0.013995463644768445,0.08006006180861408
GATA2,-0.03372233520368424,0.04684093956160877,-0.17322656411022827,-0.1830656001519802,0.00030143917578955183,0.12620600849510513,0.06616364207480728,0.01944762708345923,-0.013383083045328814,0.1150817640221019,0.025390040475275592,0.20132070998009205,-0.049951426386497244,-0.08434360983308725,0.08170331399168682,-0.03248312492802738,-0.03636417559480786,0.14470596939546135,-0.07208748794081841,0.041729025353154134,-0.052993823374733365,0.02100123993846915,0.06427661237044048,-0.04060717152581229,0.00629883262061518,-0.020033339554957973,-0.02706596642984011,0.01127880410135732,0.11399706973037005,-0.13554409653986296
CEBPA,-0.013065036329873447,-0.04649609466316604,0.0029563048237494388,0.03250338498855243,0.03549853465012382,-0.005678551432971803,0.017695315677320744,-0.039305512860571074,0.0009762703388147892,-0.05936620219902917,-0.07684809144592782,0.10631478022524318,0.06899909257656499,-0.038816083751071824,-0.06606795584372736,0.01701874740414289,0.022940434140814002,0.017728914861385246,0.11912460551199462,-0.04605788382380331,-0.058187497239823735,-0.02415664808618683,-0.04206818176182968,-0.009463676915329648,0.0003611805644995605,0.0272851082511583,-0.07440532504499817,-0.07690210519160123,0.08471486064033697,0.04439383518836785
NUP214,0.05629874161395643,-0.06462216239143,0.0898181061101646,0.0023956308086697784,0.01726845744594615,-0.005986623050038514,0.015853449645062807,-0.0391511026505196,0.024542218477467816,0.09226556066600636,-0.013350886640663626,0.044606203864259494,-0.04876375696029218,0.04735653219751487,0.027808282848197925,-0.015433535199946818,0.0008652772481456672,-0.0711992966881989,-0.06994024912188877,0.021112364704770008,0.0037099573277178674,-0.012758817624797978,0.037927554641259235,-0.04539223658014013,-0.015522741564039284,0.03553550281815816,0.059064686314701645,0.004755338715703512,-0.07453963873035553,-0.054972620453562236
KIT,0.028300761735302073,-0.01855047942394503,-0.04352444891522651,0.017667704711464356,0.03672805286343605,-0.018450740344123112,0.0038572380814700965,0.014412177145860612,-0.04702857975879049,0.010363078310701953,0.004618826669731521,-0.04214989414232374,0.031312646455169554,-0.00898895302501251,0.030607437466978756,-0.011139761527073444,0.04145483723548705,0.03293217586927091,0.0013381645867059145,-0.03829513144564563,0.009381505865404025,-0.018620423376473603,-0.03836071563103747,0.001020385004298065,-0.032822310864916125,0.0026191894197473875,0.054457076446868986,0.024100971597092798,0.0005898045196666895,-0.02795263550227117
