gene,mode_63,mode_64,mode_65,mode_66,mode_67,mode_68,mode_69,mode_70,mode_71,mode_72,mode_73,mode_74,mode_75,mode_76,mode_77,mode_78,mode_79,mode_80
WAPL,-0.009164205190757247,-0.03669734604022428,0.007030420052251956,-0.008592602702442853,-0.00932311571420183,-0.015685792554753004,0.02305771884925498,-0.015273492814837414,-0.02214840444557423,-0.04469473017676811,-0.04917123767931888,0.009477409762181192,-0.03991414315618018,-0.024866932038426444,0.03299852580839211,-0.047363870633086766,0.07209901127486838,-0.025934165180343815
SMC1B,-0.043257489010986715,0.01655233532692846,0.08245237659092368,-0.004802064828815915,-0.022414827453744887,0.06861489904266743,0.054030567157219496,-0.035759824412561175,-0.05474727448206506,-0.008596932617041256,0.03479484635585305,-0.0857395582368324,-0.012956389919221177,-0.006217210443718912,0.11140248061282641,-0.01413881519603461,-0.07205908893621943,-0.06070159099380537
CDCA5,-0.024748005606725496,-0.03167962300124171,-0.03833227826094812,-0.003135384105896649,0.0014927791320596179,0.02578697155638124,-0.0077759110624227605,-0.03213858874964791,0.038277847873346045,0.005395235134389867,0.01139792909415358,-0.03178568522457375,0.00946058159185163,-0.0634448299981321,-0.055366231032799876,-0.014958645846700916,0.025674572431207222,0.03810853610741565
SGO1,0.11837295831561236,-0.08475852013668582,-0.030546351211542574,-0.09811251073134852,-0.010685537808452503,0.10700312784130046,0.021617024387450882,0.1465956661646475,0.08311118918909942,-0.021730909379630108,0.01609147994300391,0.09136574706810245,0.011013742392249748,0.04351840382084743,0.05096705598582167,0.0548057982172853,-0.07920359860677045,-0.1293794360832541
REC8,-0.19650551270892336,-0.1448917566983621,0.020212226023042183,0.14204352433514186,0.023446020143774587,0.1821001801380993,-0.13269500044585025,0.1439371941363973,-0.024083720745491543,-0.06668275105881621,-0.06252782125625402,-0.07079190601645688,-0.029731246554208095,0.04673877656147369,0.021152091095479674,-0.1362687658376006,0.044913431359084245,-0.04676784658260757
MXD4,-0.01572792613032128,0.07284043823158952,0.030755335145606705,-0.09258695842790156,-0.06795342343203666,-0.04174296487970698,0.08257249832173075,0.02155711353248514,0.07423297457750185,0.08204680114542605,0.07548449095455449,0.09073907123934767,0.04569155071090945,-0.11551303525186271,-0.010678117239859307,-0.06617682663942819,0.03087224940500899,0.027633552501379874
STAG3,0.05946705616212446,0.016692451267050074,-0.05826500490926198,-0.032120849259093406,-0.050830609334185504,0.040650735032369226,-0.051393507206202386,-0.016538605973892635,-0.0228571804586447,0.05665793620131779,-0.030478197797033747,0.006856591182789086,0.07181040834219049,0.032770910745328334,-0.03213846637496128,0.09907117979220324,-0.013991199670963976,0.008171436480653486
NIPBL,-0.030961089612620812,0.0014206558872261344,0.014796735156544743,-0.045466860747493246,0.014378122240476897,-0.06757529049114887,0.05426530045582145,-0.031030985822231905,-0.0023063146317820744,0.009602830647075991,-0.018380076367922066,0.004226019282759199,-0.04746220333355879,-0.06611531575673323,0.005811367115557281,-0.036628171135052484,0.005392982188106701,-0.028448315652160997
SPI1,-0.0513485922071552,0.04055886414139813,0.088967772838109,0.05958876869509433,0.10656801426631317,-0.022740626464003856,-0.015649121044607167,-0.0091959443861757,-0.010736037512107686,-0.06718806726480532,0.07701305517882198,-0.06433706788052085,-0.0034974880138916816,0.08735330318840782,0.0618051039383233,-0.016820098018242975,-0.02741030920621378,-0.04261290455670622
GPR31,0.057240427970177025,-0.022799781248558366,-0.006831567117782512,-0.014668212432673137,-0.03408443710295333,-0.03895916540027711,0.008209149594505428,0.071855637049324,-0.0159191029140975,-0.024576692612659663,-0.04496784709704255,-0.0007733586678120564,0.019994161219894415,-0.007814141229616722,-0.009762504345990554,-0.0328005670390709,-0.010292454518791443,-0.022488350088201523
STAG1,0.08990169285923398,0.003483663764701202,0.07059066421597245,-0.04821756109061269,0.045347432990167365,-0.021053640177501054,0.009240554846564409,-0.024505004930481685,-0.10684645168857188,0.09018177263975387,-0.060594188409619186,-0.14905061669750544,-0.0360841684833045,0.05853081058947352,-0.03390425102900551,-0.009674330563862216,0.059846888583475914,-0.017386303207322453
NXF2,-0.03404378366507922,0.04397113812641183,-0.07390935646357864,0.06500361086190934,0.03256357434770027,0.028887099170251954,0.056588649059532835,0.0676642802131832,0.024048404508161897,0.014451703498781337,-0.014052190819150245,-0.044022707654718496,-0.02042274538907316,0.01189335755884157,0.008210396891467072,0.011696767253911668,-0.032226745648933255,-0.006395163560422824
CARNMT1,-0.003822636413823829,0.013711995131647526,-0.07203448545488239,0.03936034659416668,-0.04891263198249112,0.004405719788769496,-0.011712049556888454,0.02979832430855233,0.024640179439639774,-0.08240457046318972,-0.004245278406607549,0.07734518209654015,0.0452695712424239,-0.00660298222455026,-0.012180723870868937,0.021318014358199574,-0.011952774461620255,0.012755725185657112
ELF4,-0.04887122649371585,0.03128664404795502,0.03461867426262098,-0.06645420633953679,0.16922130303737118,0.037796620882235524,0.04108760254320712,-0.1022015065230067,-0.011085995417279252,-0.06124717324118926,-0.13997931374172007,-0.021318358437658568,0.1114331015406367,0.027473836401254257,-0.050071658054004126,0.10402930376453796,-0.04771545987408882,0.045258965570772976
KRTAP10-3,-0.025238411843952945,0.112804258584964,0.03207761713501673,0.04417892815388342,-0.06742691550345387,-0.00816055342271589,0.01984960493700413,-0.0003126126795696197,-0.07556839029342885,-0.05416994192150879,-0.04852571153711156,0.01901656553768911,0.04869130300035015,-0.02726354656679421,0.08206991182528772,0.027504811491150707,0.10456451234193018,0.06021907130880595
AIRE,-0.004576838466214342,-0.012885974584750312,-0.013005342768717463,-0.05841758870354785,-0.06748805675570499,-0.011618746324484685,0.006452589515072862,-0.010616621284246636,-0.03872294734845716,-0.01848824706286223,0.0004438865115377377,0.016494783488433192,-0.041584427533473606,0.06185891915660519,0.01870118624404949,0.009795369070419892,-0.016360028278382708,0.05760453695789422
ZNF513,-0.1234655263230941,-0.009898504734730768,0.04394655842356952,0.04580133534479337,-0.1464369444521983,-0.002339358138815969,0.06533927141475174,-0.032371897279001506,-0.11809772780841318,-0.006913785600071249,0.007053712487133448,0.060420224910119294,-0.012305884209916552,0.07340801344129093,-0.02961661951259983,-0.02341827750728551,-0.10509182823984871,-0.009782496153348558
SLA,-0.05897408005557403,0.0008195580770095345,-0.06786327560452472,0.08464691198056318,-0.0025645656006542798,-0.1284121172557825,0.021298508928831096,-0.00015137352959379298,-0.017912368034858107,-0.07091436017400214,-0.050638730520771155,0.1490283500877612,0.047241839137030624,-0.03619333290767633,-0.10158948145472574,-0.12748715369360758,0.02136862846143619,-0.09701103351345837
