diagnosis_schema_version,case_id,test_case,case_category,rooted_subtree_id,subtree_leaf_count,complement_leaf_count,smaller_side_leaf_count,smaller_side_fraction,support_count,method_count,support_fraction,is_unstable,supporting_methods,absent_methods,contrast_type,median_supporting_branch_length,min_supporting_branch_length,max_supporting_branch_length,subtree_leaf_preview,complement_leaf_preview
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,f5550349c8299490,107,693,107,0.13375,1,7,0.14285714285714285,True,single,"average,centroid,complete,median,neighbor_joining,weighted",single_method_specific_subtree,1.57388767424e-06,1.57388767424e-06,1.57388767424e-06,"L11,L116,L123,L130,L135,L145,L147,L153,L158,L16,L160,L166,...(+95)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+681)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,d38c238f8a139759,694,106,106,0.1325,1,7,0.14285714285714285,True,single,"average,centroid,complete,median,neighbor_joining,weighted",single_method_specific_subtree,2.27431225065e-05,2.27431225065e-05,2.27431225065e-05,"L1,L10,L100,L101,L103,L104,L105,L107,L108,L109,L11,L110,...(+682)","L102,L106,L113,L115,L12,L120,L124,L128,L146,L149,L15,L159,...(+94)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,3861dca3288eaebc,106,694,106,0.1325,1,7,0.14285714285714285,True,single,"average,centroid,complete,median,neighbor_joining,weighted",single_method_specific_subtree,1.72925320961e-06,1.72925320961e-06,1.72925320961e-06,"L11,L116,L123,L130,L135,L145,L147,L153,L158,L16,L160,L166,...(+94)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+682)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,0e718ce520ae8ae0,105,695,105,0.13125,1,7,0.14285714285714285,True,centroid,"average,complete,median,neighbor_joining,single,weighted",nonmonotone_specific_subtree,2.3871114228e-07,2.3871114228e-07,2.3871114228e-07,"L114,L116,L123,L130,L135,L145,L160,L166,L173,L181,L184,L188,...(+93)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+683)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,abe8ea1779792907,695,105,105,0.13125,1,7,0.14285714285714285,True,single,"average,centroid,complete,median,neighbor_joining,weighted",single_method_specific_subtree,2.56768847611e-05,2.56768847611e-05,2.56768847611e-05,"L1,L10,L100,L101,L103,L104,L105,L107,L108,L109,L11,L110,...(+683)","L102,L106,L113,L115,L12,L120,L124,L128,L146,L149,L15,L159,...(+93)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,3bc98e76f0b1e4a7,105,695,105,0.13125,1,7,0.14285714285714285,True,single,"average,centroid,complete,median,neighbor_joining,weighted",single_method_specific_subtree,2.07807843811e-06,2.07807843811e-06,2.07807843811e-06,"L11,L123,L130,L135,L145,L147,L153,L158,L16,L160,L166,L173,...(+93)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+683)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,61bcb7c27f998cf5,105,695,105,0.13125,1,7,0.14285714285714285,True,weighted,"average,centroid,complete,median,neighbor_joining,single",single_method_specific_subtree,0.00373213790549,0.00373213790549,0.00373213790549,"L1,L10,L103,L105,L107,L11,L114,L14,L15,L16,L17,L19,...(+93)","L100,L101,L102,L104,L106,L108,L109,L110,L111,L112,L113,L115,...(+683)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,bf9eaabca6046677,104,696,104,0.13,1,7,0.14285714285714285,True,centroid,"average,complete,median,neighbor_joining,single,weighted",nonmonotone_specific_subtree,2.66701032485e-07,2.66701032485e-07,2.66701032485e-07,"L114,L116,L123,L130,L135,L145,L160,L166,L173,L181,L184,L188,...(+92)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+684)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,8803d11b1966240f,696,104,104,0.13,1,7,0.14285714285714285,True,single,"average,centroid,complete,median,neighbor_joining,weighted",single_method_specific_subtree,2.75522783492e-05,2.75522783492e-05,2.75522783492e-05,"L1,L10,L100,L101,L103,L104,L105,L107,L108,L109,L11,L110,...(+684)","L102,L106,L113,L115,L12,L120,L124,L128,L146,L149,L15,L159,...(+92)"
tree_topology_difference_diagnosis/v1,overlap_heavy_8c_large_feat,88,overlapping_binary_heavy,ee8663bb4c02073b,104,696,104,0.13,1,7,0.14285714285714285,True,single,"average,centroid,complete,median,neighbor_joining,weighted",single_method_specific_subtree,2.84131883516e-06,2.84131883516e-06,2.84131883516e-06,"L11,L123,L130,L135,L145,L147,L153,L158,L16,L160,L166,L173,...(+92)","L1,L10,L100,L101,L102,L103,L104,L105,L106,L107,L108,L109,...(+684)"
