weighting,component,eigenvalue,fraction_of_kept_operator_energy
tfidf,60,0.6185111704214536,0.004682378952901425
tfidf,61,0.6126974914785526,0.0046383670591427124
tfidf,62,0.5998436846203955,0.004541058558382275
tfidf,63,0.5993140942880737,0.004537049346027979
tfidf,64,0.58841704967388,0.004454554324449694
tfidf,65,0.5864583557964087,0.004439726222023025
tfidf,66,0.5749240017288904,0.004352406510910516
tfidf,67,0.5610936905358712,0.004247705478594248
tfidf,68,0.5520209525639317,0.004179021193885126
tfidf,69,0.5408717885002574,0.004094617526415998
tfidf,70,0.5343318040008236,0.004045107206737238
tfidf,71,0.5282644158372226,0.003999174631878533
tfidf,72,0.5189666204877896,0.003928786572075338
tfidf,73,0.5059710159485503,0.0038304046056941952
tfidf,74,0.4869118788653651,0.0036861192530497798
tfidf,75,0.4769766253566899,0.003610905377948605
tfidf,76,0.4709941461748113,0.0035656155983180902
tfidf,77,0.46986526941303913,0.003557069546051743
tfidf,78,0.45759098040256857,0.003464148229068422
tfidf,79,0.4529281646380494,0.0034288488336150394
tfidf,80,0.44686965011756613,0.0033829834358127192
