test_case,case_id,case_category,source_family,feature_representation,method,params,true_clusters,found_clusters,samples,features,noise,ari,nmi,purity,macro_recall,macro_f1,worst_cluster_recall,outlier_precision,outlier_recall,outlier_f1,singleton_outlier_isolated,grouped_outlier_cluster_recovered,cluster_count_abs_error,over_split,under_split,tree_build_sec,populate_divergences_sec,edge_gate_sec,edge_gate_contrast_covariance_sec,edge_gate_projection_sec,edge_gate_wald_statistic_sec,edge_gate_tree_bh_sec,spectral_context_sec,tangent_whitening_sec,eigensolve_sec,pca_projection_sec,sibling_gate_sec,sibling_gate_pair_record_collection_sec,sibling_gate_inflation_fit_sec,sibling_gate_adjusted_tests_sec,sibling_gate_fdr_sec,traversal_sec,status,skip_reason,labels_length
31,binary_balanced_low_noise,binary_balanced_low_noise,binary_template,binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",4,4,72,72,0.25,0.9624242057671661,0.9610177761184958,0.9607501893787048,0.9861111111111112,0.9861003861003861,0.9444444444444444,,,,,,0.0,0.0,0.0,0.0003859589996864088,0.001254542003152892,0.027731415997550357,0.013805953989503905,0.00024962898169178516,0.0035315359637024812,0.0010959170031128451,0.006733875001373235,0.001215755044540856,0.003220126011001412,0.0008921690096030943,0.024516915997082833,0.010543917000177316,0.0002795830005197786,0.002178542003093753,0.010511458000109997,2.141699951607734e-05,ok,,72
32,binary_balanced_low_noise__2,binary_balanced_low_noise,binary_template,binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",4,0,72,120,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skip,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 71 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",0
33,sparse_features_72x72,binary_sparse_features,binary_template,binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",4,4,72,72,0.1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.0003517500008456409,0.0011659169977065176,0.028140292000898626,0.014117080070718657,0.00031150498398346826,0.0037129020638531074,0.0012495839982875623,0.006360250001307577,0.0011725779695552774,0.0031271599800675176,0.0008263689596788026,0.025764541001990438,0.010673958000552375,0.0002818339999066666,0.0022959999987506308,0.0114804999975604,2.1249994460958987e-05,ok,,72
34,sparse_features_100x500,binary_sparse_features,binary_template,binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",4,4,100,500,0.1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.0005458749947138131,0.006508958998892922,0.15168679199996404,0.116624291993503,0.0005982900693197735,0.006101065984694287,0.0018042499941657297,0.02345716700074263,0.009556577999319416,0.007746203998976853,0.002278170970384963,0.08987466599501204,0.06815199999982724,0.0003232500021113083,0.0033580000017536804,0.01692837500013411,1.9999999494757503e-05,ok,,100
35,binary_perfect_2c,improved_binary_perfect,binary_template,binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",2,0,40,50,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skip,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 4 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",0
36,binary_perfect_4c,improved_binary_perfect,binary_template,binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",4,0,80,100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skip,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 6 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",0
37,binary_perfect_8c,improved_binary_perfect,binary_template,binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",8,0,160,200,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skip,"Cannot fit sibling inflation model: no strict-null or stopped-edge empirical-null calibration records with positive weight. Found 14 selected non-null positive-weight record(s), which are not valid empirical-null calibration support.",0
38,binary_low_noise_2c,improved_binary_low_noise,binary_template,binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",2,6,40,50,0.05,0.7832759989415189,0.7558921583728597,1.0,1.0,1.0,1.0,,,,,,4.0,1.0,0.0,0.0002262920024804771,0.0007788329967297614,0.014044499999727122,0.006126747983216774,0.00012937699648318812,0.0019274569931440055,0.0005515000011655502,0.0033605420030653477,0.0005629990046145394,0.0016632009792374447,0.0003697059946716763,0.01282925000123214,0.005323500001395587,0.00025062500208150595,0.000793332998000551,0.005488083996169735,1.654199877521023e-05,ok,,40
39,binary_low_noise_4c,improved_binary_low_noise,binary_template,binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",4,4,80,100,0.05,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.0004800409951712936,0.0018548750012996607,0.04133679200458573,0.022735134967660997,0.0003341209885547869,0.004748033941723406,0.0010997079953085631,0.009692084000562318,0.0019964569801231846,0.004591582001012284,0.0011822029919130728,0.02854937499796506,0.015681291995861102,0.0003087500008405186,0.0015323749976232648,0.009890875000564847,2.1292005840223283e-05,ok,,80
40,binary_low_noise_8c,improved_binary_low_noise,binary_template,binary,kl,"tree_distance_metric=hamming, tree_distance_source=feature_metric, tree_linkage_method=average",8,8,160,200,0.1,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.0,0.0,0.0,0.0008424590050708503,0.004436041999724694,0.12397108299774118,0.0800571259969729,0.0007876619711169042,0.009713771942188032,0.0027709169953595847,0.026190333999693394,0.006434502960473765,0.013178655972296838,0.0026559600300970487,0.07015141600277275,0.04628608300117776,0.00046520800242433324,0.004078040998138022,0.018180416998802684,3.899999865097925e-05,ok,,160
