gene,subspace_axis_1,subspace_axis_2,cluster_id
RYBP,-0.01159967933734064,-0.13610168973918427,4
CBX8,-0.12068484699488866,-0.25946923601059296,3
PIP,-0.043007756974440425,0.1060992998068795,4
NCAPH2,-0.12823318969524597,0.1887791905884016,4
B4GALT2,-0.09300155300080035,0.0954511565867137,4
SP1,-0.02477405598366927,-0.33771750607707957,4
CTBP1,-0.09660046526043518,-0.42582433862375213,3
CDC16,-0.1479683020092326,0.16477895626149092,4
CBX3,-0.2036783718580821,-0.16365574733457078,3
BRAF,0.5367193972665838,0.07005658988926497,0
CCDC96,-0.11865576956743078,0.2907201368245091,4
CBX6,-0.11815725810961483,-0.2108511785548869,3
SKP1,-0.040167753984633875,-0.06805440115299441,4
S100P,-0.12032076717299679,0.2396529097264904,4
USP7,-0.15636292174464672,-0.12872624147324793,3
