case_id,method,tree_inference,sample_id,cluster_label
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L232,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L233,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L234,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L235,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L236,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L237,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L238,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L239,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L240,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L241,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L242,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L243,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L244,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L245,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L246,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L247,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L248,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L249,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L250,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L251,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L252,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L253,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L254,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L255,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L256,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L257,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L258,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L259,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L260,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L261,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L262,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L263,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L264,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L265,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L266,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L267,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L268,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L269,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L270,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L271,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L272,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L273,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L274,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L275,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L276,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L277,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L278,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L279,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L280,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L281,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L282,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L283,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L284,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L285,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L286,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L287,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L288,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L289,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L290,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L291,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L292,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L293,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L294,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L295,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L296,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L297,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L298,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L299,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L300,1
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L301,2
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L302,2
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L303,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L304,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L305,2
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L306,2
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L307,2
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L308,2
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L309,2
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L310,2
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L311,2
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L312,2
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L313,2
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L314,3
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L315,2
cat_overlap_3cat_4c,tbs_diffusion_graphtools_adaptive_nnls,average,L316,2
