case_id,left_run_id,right_run_id,left_method,right_method,left_tree_inference,right_tree_inference,partition_ari
binary_low_noise_4c::none,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_complete,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,complete,1.0
binary_low_noise_4c::none,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_average,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,average,1.0
binary_low_noise_4c::none,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_centroid,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,centroid,1.0
binary_low_noise_4c::none,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_median,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,median,1.0
binary_low_noise_4c::none,family_metric_tree_linkage_method_weighted,family_metric_tree_builder_neighbor_joining,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,neighbor_joining,1.0
binary_low_noise_4c::none,family_metric_tree_linkage_method_weighted,family_metric_tree_linkage_method_single,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,weighted,single,1.0
binary_low_noise_4c::none,family_metric_tree_linkage_method_ward,family_metric_tree_linkage_method_complete,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,ward,complete,1.0
binary_low_noise_4c::none,family_metric_tree_linkage_method_ward,family_metric_tree_linkage_method_average,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,ward,average,1.0
binary_low_noise_4c::none,family_metric_tree_linkage_method_ward,family_metric_tree_linkage_method_centroid,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,ward,centroid,1.0
binary_low_noise_4c::none,family_metric_tree_linkage_method_ward,family_metric_tree_linkage_method_median,tbs_diffusion_graphtools_adaptive_nnls,tbs_diffusion_graphtools_adaptive_nnls,ward,median,1.0
