metric_family,branch_time_mode,tree_inference,ok_cells,mean_found_clusters,mean_ari,median_ari,mean_nmi,median_nmi,mean_macro_f1,median_macro_f1,mean_purity,median_purity,mean_silhouette_score,median_silhouette_score,mean_davies_bouldin_index,median_davies_bouldin_index,mean_calinski_harabasz_index,median_calinski_harabasz_index,mean_largest_cluster_fraction,median_largest_cluster_fraction,mean_singleton_fraction,median_singleton_fraction,mean_nnls_normalized_residual_rmse,median_nnls_normalized_residual_rmse,mean_root_smaller_child_fraction,median_root_smaller_child_fraction,mean_topology_kcut_ari,median_topology_kcut_ari,mean_topology_kcut_nmi,median_topology_kcut_nmi,mean_topology_kcut_macro_f1,median_topology_kcut_macro_f1,mean_topology_kcut_silhouette_score,median_topology_kcut_silhouette_score,mean_topology_kcut_largest_cluster_fraction,median_topology_kcut_largest_cluster_fraction,mean_topology_exact_true_cluster_clade_fraction,median_topology_exact_true_cluster_clade_fraction,mean_topology_weighted_true_cluster_clade_purity,median_topology_weighted_true_cluster_clade_purity,mean_root_sibling_p_value_corrected,median_root_sibling_p_value_corrected,mean_min_edge_open_sibling_p_value_corrected,median_min_edge_open_sibling_p_value_corrected
continuous_gaussian,none,centroid,1,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.25,0.25,,,,,,,1.0,1.0,0.0,0.0,0.0334581412248782,0.0334581412248782,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.869136284970377,0.869136284970377,0.25,0.25,1.0,1.0,1.0,1.0,0.1336785763349238,0.1336785763349238,0.1336785763349238,0.1336785763349238
continuous_gaussian,none,complete,1,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.25,0.25,,,,,,,1.0,1.0,0.0,0.0,0.0325236340566409,0.0325236340566409,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.869136284970377,0.869136284970377,0.25,0.25,1.0,1.0,1.0,1.0,0.0673932238538976,0.0673932238538976,0.0673932238538976,0.0673932238538976
continuous_gaussian,none,median,1,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.25,0.25,,,,,,,1.0,1.0,0.0,0.0,0.032537661586355,0.032537661586355,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.869136284970377,0.869136284970377,0.25,0.25,1.0,1.0,1.0,1.0,0.1285528805936638,0.1285528805936638,0.1285528805936638,0.1285528805936638
continuous_gaussian,none,neighbor_joining,1,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.25,0.25,,,,,,,1.0,1.0,0.0,0.0,0.0323880860003209,0.0323880860003209,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.869136284970377,0.869136284970377,0.25,0.25,1.0,1.0,1.0,1.0,,,,
continuous_gaussian,none,single,1,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.25,0.25,,,,,,,1.0,1.0,0.0,0.0,0.0325930607383305,0.0325930607383305,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.869136284970377,0.869136284970377,0.25,0.25,1.0,1.0,1.0,1.0,0.0874026047548899,0.0874026047548899,0.0874026047548899,0.0874026047548899
continuous_gaussian,none,ward,1,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.25,0.25,,,,,,,1.0,1.0,0.0,0.0,0.0334512267964822,0.0334512267964822,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.869136284970377,0.869136284970377,0.25,0.25,1.0,1.0,1.0,1.0,0.1640015744561327,0.1640015744561327,0.1640015744561327,0.1640015744561327
continuous_gaussian,none,weighted,1,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.25,0.25,,,,,,,1.0,1.0,0.0,0.0,0.0325219468402428,0.0325219468402428,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.869136284970377,0.869136284970377,0.25,0.25,1.0,1.0,1.0,1.0,0.4937918611074823,0.4937918611074823,0.2974730261466653,0.2974730261466653
continuous_gaussian,normalized_branch_length,average,1,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.25,0.25,,,,,,,1.0,1.0,0.0,0.0,0.0334434399805379,0.0334434399805379,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.869136284970377,0.869136284970377,0.25,0.25,1.0,1.0,1.0,1.0,,,,
continuous_gaussian,normalized_branch_length,centroid,1,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.25,0.25,,,,,,,1.0,1.0,0.0,0.0,0.0334581412248782,0.0334581412248782,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.869136284970377,0.869136284970377,0.25,0.25,1.0,1.0,1.0,1.0,,,,
continuous_gaussian,normalized_branch_length,complete,1,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.25,0.25,,,,,,,1.0,1.0,0.0,0.0,0.0325236340566409,0.0325236340566409,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.869136284970377,0.869136284970377,0.25,0.25,1.0,1.0,1.0,1.0,,,,
