gene,mode_52,mode_53,mode_54,mode_55,mode_56,mode_57,mode_58,mode_59,mode_60,mode_61,mode_62,mode_63,mode_64,mode_65,mode_66,mode_67,mode_68,mode_69,mode_70,mode_71,mode_72,mode_73,mode_74,mode_75,mode_76,mode_77,mode_78,mode_79,mode_80
KRAS,-0.05848652450163145,0.13528378312354697,0.09827937745872761,0.08201057015313779,-0.041143412953261245,0.036374303582946466,-0.10261158303588075,0.023680900042752487,-0.042744703053023574,-0.0669861303679784,-0.003614944571293637,-0.039314529878082205,0.004754172320385328,0.02278609105854124,0.01646828393746034,0.04864755073349525,-0.059022184116570266,0.05510297899720855,0.011526395684993989,-0.03674289174114009,-0.021879340383885733,-0.002390142392021611,0.015641097460267633,-0.008190633167928433,0.03652045007396123,-0.035814866987196464,-0.01946260877952471,0.035697402212789484,-0.006385146652730035
DNMT3A,0.04262295863271128,0.004835767362963878,-0.06947588647998341,-0.05819585370348446,-0.07518577138966628,-0.09933122253755862,-0.02348918229097837,-0.06462191234733351,0.1171595632126629,0.08051004263305206,-0.16003547004472624,0.08111843734869295,0.05053560534026628,0.03564560161958962,-0.024213431776180593,-0.011033964887399028,0.007014877917543735,0.014703013763497237,0.005214529928409606,0.02080910840396968,0.047449589537619685,0.09912800914648545,0.027825989425576916,-0.0763546045711557,-0.009404407876311954,0.026427734739580357,-0.04491257234014903,-0.008187295094311578,-0.06308079688434903
ASXL1,0.015413837098885105,-0.04375555342698233,-0.1150074110321646,0.11074068139472386,0.025745385055727002,0.10104382110392708,0.1423946415864732,0.07358632192560771,0.06722952145518986,-0.007275898700142628,-0.04607476665382444,0.047580012744055246,0.07303042622999084,0.13229084223024265,-0.03296721681067567,0.08949504707593109,0.062130452955415076,-0.011794235857364301,0.10193478516966319,0.0846151099467042,-0.00864480769588629,0.003936779571651693,0.15585142728123672,0.03982413022219131,-0.00434377836682799,0.04851967604350414,-0.10980400074914803,0.042126631751712405,-0.0038864115727391627
U2AF1,0.10170384483568023,0.06265738769295282,0.022229762518753898,-0.09698942022478896,-0.0631689194533616,-0.04926183801256022,0.03482149024709966,-0.07590836936130872,-0.11388502139879032,-0.024137563268018174,-0.052532555039397334,-0.02857197909054388,0.0025153753144005046,0.05102136681076219,-0.08905392766354557,0.03350101580750927,-0.0546913393040884,0.06698470251411416,0.09238105251840635,0.06942324366996377,0.0711035914640806,-0.017757224043988894,0.03776749652977587,-0.074523067657853,-0.03522681529467575,-0.033762651282656424,0.02483893008594639,-0.01835236739018508,-0.010788034867202494
GATA2,-0.038303874387396374,0.018528297310986017,0.07379370649164456,-0.030514645989073823,-0.04783542146031194,-0.0072645601851715905,-0.03558459007546388,0.23102517853162166,-0.04370212484731465,-0.0028572829996868377,0.020975180210033216,-0.07064410861126462,0.15971141825004945,-0.0036232890087057497,-0.0030106854105822712,-0.0948209592922899,-0.029102971592050976,0.05516546956836783,-0.053339280315728696,0.07524330888442707,-0.05695795569323248,0.10008418860739596,0.026783753111786813,-0.0015774826606583278,-0.039738152829607847,-0.006110606578446156,-0.037305039761778395,-0.05379186494976195,-0.01908552673583119
CEBPA,0.039070222678064565,0.05387212125824273,-0.00740551018205282,0.018365534004969652,0.05725906072146994,0.007774447258240933,-0.08558440674599123,0.08267790489140613,-0.0715287464690288,-0.032312640201224735,0.07405809753630901,0.014770064120145397,0.016839916974447467,-0.002000393214846821,0.059272360540379675,0.10648266295286483,-0.03092287416093342,-0.07431312264567258,-0.04496823230772291,-7.936210277606414e-05,-0.008909162379142568,0.05249288368950269,-0.05035336571076448,0.015637293984356614,0.039415102546630755,-0.06321016037155208,0.010948822805658957,0.05838901215971101,-0.016922299330166497
NUP214,0.017984680885393588,-0.00922031772290677,0.03730163034317898,-0.06363184910210622,0.0962208666386904,-0.01290824691317105,0.0661915198937628,0.015185995092155466,0.02132904503550377,0.019615792248649545,0.009895244051828424,0.01612580957569986,-0.07294136593372512,-0.02584623742348018,0.07734474836902588,0.0050396462238842315,-0.06560344391835161,-0.014625762199717406,0.011472304848876243,0.02419285390804258,0.053463544732927026,-0.020395104472287186,-0.06455929939318818,0.024423644733795803,0.031128111261595884,-0.03521590212140919,-0.08673418826095237,-0.00460656773849507,-0.05077437443063086
KIT,0.004586212353065956,0.009395340672170962,0.001771579036298103,-0.0006674711982406246,0.0009768162326955381,0.023519828411398293,-0.024409012878066787,0.024825327323718373,-0.012438782364164146,-0.03442692885360794,0.005817026518647998,0.034334341993320104,0.0332130312101056,0.008074344745346294,0.011288492237828431,0.000697858113276968,-0.05541360373790326,-0.002033114431653638,-0.0008285156905116311,-0.02122373140337353,-0.02012996094173469,-0.00898397663470142,0.002561029530556555,-0.025028529652932587,0.013963018932560712,0.018814873363848576,0.01267510329609594,-0.014165299752831343,-0.018750892018088727
PTPN11,0.005806623786628628,-0.01306871403967828,0.010644685490206097,-0.03267664496870289,0.01567426368735563,-0.01475931051876211,-0.018194720892236452,0.004705008621695805,0.004312134457166996,-0.040331345448098445,-0.04148537538666423,0.020585734458543146,0.028359513550702264,-0.0018944127820281205,0.013845441447192904,-0.011287163338372087,0.028333147298646246,0.042442699403777276,-0.034009356235925756,-0.028069537582772114,0.06822812917682734,0.012170711021083143,0.06691745604823078,0.014309720803383608,-0.017047114508544996,0.03478140183038816,0.020703014834905963,0.021348263544818693,-0.005171840631283705
STAG2,0.0780385487219049,0.09047096847540097,-0.03851373023950952,-0.04134301979084497,-0.03109409420043706,0.0674765785093811,-0.044978166837024554,-0.07163633388158688,-0.03525540429230772,-0.03014280313887899,0.02350220393817973,-0.051644184954706525,0.05222539988538485,-0.04272754984598807,0.02280510129741649,-0.08033771182735072,0.025291450755637806,0.0338402585689179,-0.0017723161128750473,0.0675469857544432,-0.016405984069845406,-0.01981513272747232,-0.04589794337539249,0.08146538981237694,0.02471511826856323,0.01962334373854153,0.022019743194277838,0.03461683629195229,-0.04371180684446739
