duplicate_group_id,n_members,members
256,2,Sensory Processing of Sound by Inner Hair Cells of the Cochlea;Sensory Processing of Sound
260,2,G Beta Gamma Signalling Through PI3Kgamma;G-protein Beta Gamma Signalling
294,2,Synthesis of PG;NOSTRIN Mediated eNOS Trafficking
296,2,ABC Transporter Disorders;Defective CFTR Causes Cystic Fibrosis
298,2,Formation of the HIV-1 Early Elongation Complex;Formation of the Early Elongation Complex
310,2,Formation of RNA Pol II Elongation Complex;RNA Polymerase II Transcription Elongation
311,2,Late SARS-CoV-2 Infection Events;Attachment and Entry 9678110
321,2,Regulation of Insulin Secretion;Glucagon-like Peptide-1 (GLP1) Regulates Insulin Secretion
322,2,RNA Polymerase III Transcription Initiation From Type 2 Promoter;RNA Polymerase III Transcription Initiation From Type 1 Promoter
323,2,Killing Mechanisms;WNT5 FZD7-mediated Leishmania Damping
330,2,Signaling by ERBB2 in Cancer;Signaling by ERBB2 KD Mutants
335,2,Cap-dependent Translation Initiation;Eukaryotic Translation Initiation
348,2,Reversal of Alkylation Damage by DNA Dioxygenases;DNA Damage Reversal
354,2,Cytosolic Iron-Sulfur Cluster Assembly;Synthesis of PIPs at the Golgi Membrane
362,2,NR1H2 & NR1H3 Regulate Gene Expression Linked to Triglyceride Lipolysis in Adipose;NR1H2 & NR1H3 Regulate Gene Expression to Limit Cholesterol Uptake
371,2,Interactions of Vpr With Host Cellular Proteins;Vpr-mediated Nuclear Import of PICs
374,2,NCAM1 Interactions;Assembly of Collagen Fibrils and Other Multimeric Structures
377,2,Leishmania Infection;Parasitic Infection Pathways
381,2,MET Receptor Recycling;IL-6/JAK/STAT3 Signaling
390,2,Intra-Golgi Traffic;Retrograde Transport at the Trans-Golgi-Network
391,2,Removal of the Flap Intermediate;Processive Synthesis on the Lagging Strand
398,2,SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs;SLBP Independent Processing of Histone Pre-mRNAs
410,2,FRS-mediated FGFR4 Signaling;FRS-mediated FGFR1 Signaling
412,2,Hh Mutants Abrogate Ligand Secretion;Hh Mutants Are Degraded by ERAD
417,2,"IKK Complex Recruitment Mediated by RIP1;TICAM1, RIP1-mediated IKK Complex Recruitment"
422,2,snRNP Assembly;Metabolism of Non-Coding RNA
427,2,Signaling by NOTCH1 t(7;9)(NOTCH1 M1580 K2555) Translocation Mutant;Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1 M1580 K2555) Translocation Mutant
432,2,Amplification of Signal From the Kinetochores;Amplification of Signal From Unattached Kinetochores via a MAD2 Inhibitory Signal
444,2,FRS-mediated FGFR2 Signaling;SHC-mediated Cascade FGFR2
460,2,"Regulation of TBK1, IKKε (IKBKE)-mediated Activation of IRF3, IRF7;Regulation of TBK1, IKKε-mediated Activation of IRF3, IRF7 Upon TLR3 Ligation"
473,2,Xenobiotic Metabolism;Diseases of Metabolism
482,2,Cellular Responses to Mechanical Stimuli;Response of Endothelial Cells to Shear Stress
483,2,Constitutive Signaling by EGFRvIII;Signaling by EGFRvIII in Cancer
497,2,Insulin Processing;VxPx Cargo-Targeting to Cilium
510,2,MAP Kinase Activation;Interleukin-17 Signaling
520,2,"Alpha-protein Kinase 1 Signaling Pathway;TICAM1,TRAF6-dependent Induction of TAK1 Complex"
522,2,MyD88-independent TLR4 Cascade;TRIF (TICAM1)-mediated TLR4 Signaling
525,2,"Defective EXT2 Causes Exostoses 2;Defective EXT1 Causes Exostoses 1, TRPS2 and CHDS"
526,2,Asparagine N-linked Glycosylation;Transport to the Golgi and Subsequent Modification
529,2,Signaling by TGF-beta Receptor Complex in Cancer;Loss of Function of SMAD2 3 in Cancer
534,2,"Defective Binding of RB1 Mutants to E2F1,(E2F2, E2F3);Aberrant Regulation of Mitotic G1 S Transition in Cancer Due to RB1 Defects"
537,2,Interleukin-35 Signalling;Interleukin-27 Signaling
545,2,Negative Regulation of FGFR4 Signaling;Negative Regulation of FGFR2 Signaling
550,2,SHC1 Events in ERBB4 Signaling;SHC1 Events in ERBB2 Signaling
555,2,SUMO E3 Ligases SUMOylate Target Proteins;SUMOylation
572,2,Peptide Chain Elongation;Eukaryotic Translation Elongation
596,2,Purinergic Signaling in Leishmaniasis Infection;Cell Recruitment (Pro-Inflammatory Response)
597,2,Regulation of Signaling by CBL;Signaling by LTK
603,2,Dual Incision in TC-NER;Gap-filling DNA Repair Synthesis and Ligation in TC-NER
628,2,Transcriptional Regulation of Brown and Beige Adipocyte Differentiation by EBF2;Transcriptional Regulation of Brown and Beige Adipocyte Differentiation
629,2,MAPK1 MAPK3 Signaling;RAF MAP Kinase Cascade
632,2,Dectin-1 Mediated Noncanonical NF-kB Signaling;NIK-->noncanonical NF-kB Signaling
636,2,"Signalling to RAS;PTK6 Regulates RHO GTPases, RAS GTPase and MAP Kinases"
637,2,"Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity;Trafficking of AMPA Receptors"
658,2,Inactivation of APC C via Direct Inhibition of the APC C Complex;Inhib of Proteolytic Activity of APC C Required for Onset of Anaphase by Mitotic Spindle Checkpoint
671,2,Mismatch Repair;Mismatch Repair (MMR) Directed by MSH2 MSH3 (MutSbeta)
673,2,Nicotinate Metabolism;Metabolism of Water-Soluble Vitamins and Cofactors
693,2,SUMO Is Proteolytically Processed;SUMO Is Conjugated to E1 (UBA2 SAE1)
705,2,Cyclin D Associated Events in G1;G1 Phase
720,2,IRAK1 Recruits IKK Complex Upon TLR7 8 or 9 Stimulation;IRAK1 Recruits IKK Complex
723,2,Cdc20 Phospho-APC C Mediated Degradation of Cyclin A;APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint
730,2,Sphingolipid Catabolism;Smooth Muscle Contraction
747,2,Activated NTRK2 Signals Through FRS2 and FRS3;Signaling by FGFR3 in Disease
763,2,mRNA Splicing;mRNA Splicing - Major Pathway
769,2,Organic Cation Transport;Organic Cation Anion Zwitterion Transport
781,2,Conversion From APC C Cdc20 to APC C Cdh1 in Late Anaphase;Aberrant Regulation of Mitotic Exit in Cancer Due to RB1 Defects
783,2,VEGF Binds to VEGFR Leading to Receptor Dimerization;VEGF Ligand-Receptor Interactions
784,2,APC C-mediated Degradation of Cell Cycle Proteins;Regulation of Mitotic Cell Cycle
797,2,Interleukin-20 Family Signaling;IRS Activation
801,2,Interleukin-21 Signaling;Interleukin-9 Signaling
821,2,Ras Activation Upon Ca2+ Influx Through NMDA Receptor;CREB1 Phosphorylation Through NMDA Receptor-Mediated Activation of RAS Signaling
843,2,"PI5P, PP2A and IER3 Regulate PI3K AKT Signaling;Negative Regulation of the PI3K AKT Network"
860,2,Nuclear Import of Rev Protein;Interactions of Rev With Host Cellular Proteins
880,2,Rab Regulation of Trafficking;RAB GEFs Exchange GTP for GDP on RABs
886,2,Regulation of TP53 Expression and Degradation;Regulation of TP53 Degradation
895,2,Chromatin Modifying Enzymes;Chromatin Organization
951,2,Glucagon-type Ligand Receptors;Inwardly Rectifying K+ Channels
974,2,Diseases Associated With the TLR Signaling Cascade;Diseases of Immune System
979,2,FBXW7 Mutants and NOTCH1 in Cancer;Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling
1003,2,Transport of Mature mRNAs Derived From Intronless Transcripts;Transport of Mature mRNA Derived From an Intronless Transcript
1028,2,Transport of the SLBP Dependant Mature mRNA;Transport of the SLBP Independent Mature mRNA
1036,2,Cyclin E Associated Events During G1 S Transition;Cyclin A Cdk2-associated Events at S Phase Entry
1050,2,Polymerase Switching;Leading Strand Synthesis
1064,2,Resolution of D-loop Structures Through Holliday Junction Intermediates;Resolution of D-Loop Structures
1091,2,Activation of Anterior HOX Genes in Hindbrain Development During Early Embryogenesis;Activation of HOX Genes During Differentiation
1099,2,APC C Cdc20 Mediated Degradation of Securin;Autodegradation of Cdh1 by Cdh1 APC C
1106,2,Deposition of New CENPA-containing Nucleosomes at the Centromere;Nucleosome Assembly
1137,2,Gap-filling DNA Repair Synthesis and Ligation in GG-NER;Termination of Translesion DNA Synthesis
1157,2,Respiratory Syncytial Virus Genome Replication;Assembly and Release of Respiratory Syncytial Virus (RSV) Virions
