gene,tree_distance_axis_1,tree_distance_axis_2,cluster_id
PIP,-0.008174258598948934,0.010754431926246637,40
NCAPH2,2.15469161160296e-05,-0.00040703383739092467,71
B4GALT2,-0.008315002807800202,4.0160504545974866e-05,89
SP1,0.013478372540919312,-0.008733261868749724,10
CTBP1,-0.009622591766848088,0.010039887406635611,30
CDC16,-0.011676324330732011,0.00586458341360923,117
CBX3,0.01505502621198913,-0.004961669450578006,6
BRAF,0.015549905493185046,-0.003729738913829075,9
CCDC96,0.012680408618179964,0.0012781147609936562,134
CBX6,-0.008504436376892006,-0.0017839871869446498,90
SKP1,0.0009933253541566148,0.012645313063224712,19
S100P,0.013001025109253949,0.0014491604809168384,135
USP7,0.003945575931196332,-0.006796935991360185,61
