case_id,test_case,tree_inference,internal_nodes,edge_tested_count,edge_significant_count,min_edge_p_value_bh_all_nodes,sibling_bh_different_count,sibling_skipped_count,min_sparse_p_value_all_nodes,min_dense_p_value_all_nodes,min_fixed_coordinate_bh_p_value_all_nodes,min_fixed_global_p_value_all_nodes
gauss_outlier_cluster_4c_continuous,30,centroid,165,2,0,0.9746359024261407,0,331,0.016995842609853325,0.0481319737671986,0.016995842609853325,0.0481319737671986
gauss_outlier_cluster_4c_continuous,30,median,165,2,0,0.9746359024261407,0,331,0.016995842609853325,0.0481319737671986,0.016995842609853325,0.0481319737671986
gauss_outlier_cluster_4c_continuous,30,ward,165,2,0,0.637371390388745,0,331,0.011142688393421226,0.0023121340238149964,0.011142688393421226,0.0023121340238149964
sbm_moderate,60,average,119,2,0,0.08908613675310655,0,239,1.901450361062858e-19,3.0004947225782977e-07,1.901450361062858e-19,3.0004947225782977e-07
sbm_moderate,60,complete,119,14,6,5.002743265777866e-10,0,236,1.6855939016305144e-11,2.670691807409069e-10,1.6855939016305144e-11,2.670691807409069e-10
sbm_moderate,60,weighted,119,2,0,0.32737362539261233,0,239,1.9711971849070168e-10,2.1048374589479688e-10,1.9711971849070168e-10,2.1048374589479688e-10
sbm_moderate,60,single,119,2,0,0.08107795970570929,0,239,8.607894707613103e-16,3.807146281616356e-25,8.607894707613103e-16,3.807146281616356e-25
sbm_moderate,60,centroid,119,2,0,0.08771491884497952,0,239,2.9331831019944917e-19,1.866890657945724e-07,2.9331831019944917e-19,1.866890657945724e-07
sbm_moderate,60,median,119,2,0,0.8855633585514655,0,239,1.9824463112328527e-18,2.206770472988411e-09,1.9824463112328527e-18,2.206770472988411e-09
sbm_moderate,60,ward,119,24,11,2.1327068623505702e-13,0,233,4.0330867779292066e-10,1.2898673190954655e-08,4.0330867779292066e-10,1.2898673190954655e-08
sbm_moderate,60,neighbor_joining,119,20,9,2.6515900862811425e-09,0,233,2.5708332752812804e-20,5.7560861239873375e-09,2.5708332752812804e-20,5.7560861239873375e-09
sbm_hard,61,average,119,6,2,7.982584065014504e-09,0,238,1.8891765837573803e-15,1.355966732428315e-10,1.8891765837573803e-15,1.355966732428315e-10
sbm_hard,61,complete,119,2,0,0.0573888857824183,0,239,6.8047807251109234e-12,1.4127550449302754e-09,6.8047807251109234e-12,1.4127550449302754e-09
sbm_hard,61,weighted,119,2,0,0.052592399924615105,0,239,3.025653227662303e-13,1.4127550449302754e-09,3.025653227662303e-13,1.4127550449302754e-09
sbm_hard,61,single,119,6,2,4.846458589075412e-09,0,238,2.7086121832819584e-17,1.355966732428315e-10,2.7086121832819584e-17,1.355966732428315e-10
sbm_hard,61,centroid,119,6,2,7.239837197097739e-09,0,238,6.774909043669263e-19,1.355966732428315e-10,6.774909043669263e-19,1.355966732428315e-10
sbm_hard,61,median,119,2,0,0.05181391075493346,0,239,4.7184625748650007e-20,1.4127550449302754e-09,4.7184625748650007e-20,1.4127550449302754e-09
sbm_hard,61,ward,119,2,0,0.05760531852366234,0,239,5.564150217472523e-14,1.4127550449302754e-09,5.564150217472523e-14,1.4127550449302754e-09
sbm_hard,61,neighbor_joining,119,2,0,0.0013008773961459758,0,239,1.3470223172630092e-11,9.994589328640008e-10,1.3470223172630092e-11,9.994589328640008e-10
overlap_heavy_8c_large_feat,88,average,799,172,168,9.295778362164053e-138,0,1514,0.0034554798608763793,1.48258246999876e-39,0.0034554798608763793,1.48258246999876e-39
overlap_heavy_8c_large_feat,88,complete,799,712,706,3.2116337994609882e-167,0,1246,0.0007609585813494515,7.779221839284369e-32,0.0007609585813494515,7.779221839284369e-32
overlap_heavy_8c_large_feat,88,weighted,799,1546,1537,5.06582890234528e-141,0,828,0.0015713119852956857,3.7423407575602626e-31,0.0015713119852956857,3.7423407575602626e-31
overlap_heavy_8c_large_feat,88,single,799,8,6,1.3968295126712688e-68,0,1596,0.04526268813995401,5.774291985968115e-14,0.04526268813995401,5.774291985968115e-14
overlap_heavy_8c_large_feat,88,centroid,799,2,0,0.001763772358915096,0,1599,0.02101167225828642,2.6844271715163595e-16,0.02101167225828642,2.6844271715163595e-16
overlap_heavy_8c_large_feat,88,median,799,2,0,0.23409432325518154,0,1599,0.0021361686692153337,1.8179480464712718e-19,0.0021361686692153337,1.8179480464712718e-19
overlap_heavy_8c_large_feat,88,neighbor_joining,799,1520,1513,1.1647176114189723e-156,0,841,0.0005737148129617237,6.59625916938957e-46,0.0005737148129617237,6.59625916938957e-46
overlap_extreme_4c,89,average,599,2,0,0.29324729326445187,0,1199,0.00023005284183965152,2.2302621472508765e-19,0.00023005284183965152,2.2302621472508765e-19
overlap_extreme_4c,89,complete,599,12,10,5.009779416951634e-20,0,1194,0.00039359494804238005,1.3543282613256394e-20,0.00039359494804238005,1.3543282613256394e-20
overlap_extreme_4c,89,weighted,599,2,0,0.35655796424273417,0,1199,0.00032406144840000094,6.673080852894299e-22,0.00032406144840000094,6.673080852894299e-22
overlap_extreme_4c,89,single,599,2,0,0.4136872109231756,0,1199,0.00031175756685383575,4.409692312924942e-14,0.00031175756685383575,4.409692312924942e-14
overlap_extreme_4c,89,centroid,599,2,0,0.14801547591886652,0,1199,0.03620470478654781,2.3531964629366917e-14,0.03620470478654781,2.3531964629366917e-14
overlap_extreme_4c,89,median,599,22,20,2.582413270397651e-26,0,1189,0.000569078366143922,9.836770637424859e-18,0.000569078366143922,9.836770637424859e-18
overlap_extreme_4c,89,ward,599,498,491,2.746259026437474e-52,0,952,8.780472430735494e-05,3.569157551660465e-33,8.780472430735494e-05,3.569157551660465e-33
overlap_extreme_4c,89,neighbor_joining,599,112,110,3.269588622248231e-43,0,1144,4.299107538574389e-06,1.250190013123999e-22,4.299107538574389e-06,1.250190013123999e-22
mp_spike_above_bbp_continuous,114,average,119,2,0,0.5678578445064908,0,239,0.03549174675119441,1.0,0.03549174675119441,1.0
mp_spike_above_bbp_continuous,114,complete,119,2,0,0.5678578445064908,0,239,0.03549174675119441,1.0,0.03549174675119441,1.0
mp_spike_above_bbp_continuous,114,weighted,119,2,0,0.5678578445064908,0,239,0.03549174675119441,1.0,0.03549174675119441,1.0
mp_spike_above_bbp_continuous,114,single,119,2,0,0.5678578445064908,0,239,0.03549174675119441,1.0,0.03549174675119441,1.0
mp_spike_above_bbp_continuous,114,centroid,119,2,0,0.6570123098155631,0,239,0.14237276600727286,1.0,0.14237276600727286,1.0
mp_spike_above_bbp_continuous,114,median,119,2,0,0.6570123098155631,0,239,0.14237276600727286,1.0,0.14237276600727286,1.0
mp_spike_above_bbp_continuous,114,ward,119,2,0,0.5678578445064908,0,239,0.03549174675119441,1.0,0.03549174675119441,1.0
cont_lowrank_pggn_shrinkage,117,average,79,16,13,4.6086153318100066e-70,0,152,0.028614106396823956,0.008524119717614093,0.028614106396823956,0.008524119717614093
cont_lowrank_pggn_shrinkage,117,complete,79,16,13,4.6086153318100066e-70,0,152,0.028614106396823956,0.008524119717614093,0.028614106396823956,0.008524119717614093
cont_lowrank_pggn_shrinkage,117,weighted,79,16,13,4.6086153318100066e-70,0,152,0.028614106396823956,0.008524119717614093,0.028614106396823956,0.008524119717614093
cont_lowrank_pggn_shrinkage,117,single,79,16,13,4.6086153318100066e-70,0,152,0.028614106396823956,0.008524119717614093,0.028614106396823956,0.008524119717614093
cont_lowrank_pggn_shrinkage,117,centroid,79,2,0,0.0077012999969118395,0,159,0.015984577514600695,0.010398978562599324,0.015984577514600695,0.010398978562599324
cont_lowrank_pggn_shrinkage,117,median,79,2,0,0.0077012999969118395,0,159,0.015984577514600695,0.010398978562599324,0.015984577514600695,0.010398978562599324
cont_lowrank_pggn_shrinkage,117,ward,79,16,13,4.6086153318100066e-70,0,152,0.028614106396823956,0.008524119717614093,0.028614106396823956,0.008524119717614093
phylo_brownian_null_16taxa,119,average,159,2,0,0.033454990372507536,0,319,0.0001383365611830622,0.00243530150041241,0.0001383365611830622,0.00243530150041241
phylo_brownian_null_16taxa,119,complete,159,2,0,0.033454990372507536,0,319,0.0001383365611830622,0.00243530150041241,0.0001383365611830622,0.00243530150041241
