case_id,test_case,method,status,skip_reason,samples,features,true_clusters,found_clusters,ari,nmi,macro_f1,purity,silhouette_score,calinski_harabasz_index,davies_bouldin_index,cluster_count_abs_error,over_split,under_split,effective_cluster_count,largest_cluster_fraction,tree_build_sec,labels_length
gauss_overlap_3c_small,6,tbs_diffusion_graphtools_adaptive_nnls,ok,,300,30,3,8,0.4923389076126947,0.7061185318563697,1.0,1.0,0.04992746174341158,36.63153894725099,3.3811784302338768,5.0,1.0,0.0,7.486350264063185,0.21333333333333335,0.0015562910120934248,300
gauss_overlap_3c_small,6,tbs_diffusion_graphtools_adaptive_nnls_complete,ok,,300,30,3,7,0.5589412612620978,0.740782693821513,1.0,1.0,0.05012889300351091,40.788630375149644,3.546454074580945,4.0,1.0,0.0,6.471920536132667,0.22333333333333333,0.0017688749940134585,300
gauss_overlap_3c_small,6,tbs_diffusion_graphtools_adaptive_nnls_weighted,ok,,300,30,3,3,1.0,1.0,1.0,1.0,0.2655629237724614,104.68637851600387,1.7161872454423344,0.0,0.0,0.0,2.9999999999999996,0.3333333333333333,0.0015315000200644135,300
gauss_overlap_3c_small,6,tbs_diffusion_graphtools_adaptive_nnls_single,ok,,300,30,3,3,1.0,1.0,1.0,1.0,0.2655629237724614,104.68637851600387,1.7161872454423344,0.0,0.0,0.0,2.9999999999999996,0.3333333333333333,0.0014420829829759896,300
gauss_overlap_3c_small,6,tbs_diffusion_graphtools_adaptive_nnls_centroid,ok,,300,30,3,3,1.0,1.0,1.0,1.0,0.2655629237724614,104.68637851600387,1.7161872454423344,0.0,0.0,0.0,2.9999999999999996,0.3333333333333333,0.0012014579842798412,300
gauss_overlap_3c_small,6,tbs_diffusion_graphtools_adaptive_nnls_median,ok,,300,30,3,8,0.8056580488572368,0.81590662954691,1.0,1.0,0.1824342566820791,35.31243015866805,2.356441091540873,5.0,1.0,0.0,4.925240141548266,0.3333333333333333,0.0012302080285735428,300
gauss_overlap_3c_small,6,tbs_diffusion_graphtools_adaptive_nnls_ward,ok,,300,30,3,7,0.5175756643111844,0.7277350211427899,1.0,1.0,0.05223899737769198,41.67900158290725,3.611839866230135,4.0,1.0,0.0,6.825409213821229,0.19666666666666666,0.0015964590129442513,300
gauss_overlap_3c_small,6,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,ok,,300,30,3,3,1.0,1.0,1.0,1.0,0.2655629237724614,104.68637851600387,1.716187245442334,0.0,0.0,0.0,2.9999999999999996,0.3333333333333333,4.981943292019423,300
gauss_overlap_8c_highd,7,tbs_diffusion_graphtools_adaptive_nnls,ok,,800,300,8,8,1.0,1.0,1.0,1.0,0.32088611336984085,132.40742248062415,1.2896537164141901,0.0,0.0,0.0,7.999999999999998,0.125,0.005446291004773229,800
gauss_overlap_8c_highd,7,tbs_diffusion_graphtools_adaptive_nnls_complete,ok,,800,300,8,8,1.0,1.0,1.0,1.0,0.32088611336984085,132.40742248062415,1.28965371641419,0.0,0.0,0.0,7.999999999999998,0.125,0.005570166045799851,800
gauss_overlap_8c_highd,7,tbs_diffusion_graphtools_adaptive_nnls_weighted,ok,,800,300,8,8,1.0,1.0,1.0,1.0,0.32088611336984085,132.40742248062415,1.2896537164141901,0.0,0.0,0.0,7.999999999999998,0.125,0.008905082999262959,800
gauss_overlap_8c_highd,7,tbs_diffusion_graphtools_adaptive_nnls_single,ok,,800,300,8,8,1.0,1.0,1.0,1.0,0.32088611336984085,132.40742248062418,1.2896537164141901,0.0,0.0,0.0,7.999999999999998,0.125,0.004013583005871624,800
gauss_overlap_8c_highd,7,tbs_diffusion_graphtools_adaptive_nnls_centroid,ok,,800,300,8,8,1.0,1.0,1.0,1.0,0.32088611336984085,132.40742248062418,1.2896537164141901,0.0,0.0,0.0,7.999999999999998,0.125,0.0042769170249812305,800
gauss_overlap_8c_highd,7,tbs_diffusion_graphtools_adaptive_nnls_median,ok,,800,300,8,8,1.0,1.0,1.0,1.0,0.32088611336984085,132.40742248062418,1.2896537164141901,0.0,0.0,0.0,7.999999999999998,0.125,0.004150957975070924,800
gauss_overlap_8c_highd,7,tbs_diffusion_graphtools_adaptive_nnls_ward,ok,,800,300,8,8,1.0,1.0,1.0,1.0,0.32088611336984085,132.40742248062415,1.28965371641419,0.0,0.0,0.0,7.999999999999998,0.125,0.005710291967261583,800
gauss_overlap_8c_highd,7,tbs_diffusion_graphtools_adaptive_nnls_neighbor_joining,ok,,800,300,8,8,1.0,1.0,1.0,1.0,0.32088611336984085,132.40742248062418,1.2896537164141901,0.0,0.0,0.0,7.999999999999998,0.125,93.93195183301577,800
